source,date,fng_value,fng_classification
coinmarketcap,2023-06-29,59,Neutral
coinmarketcap,2023-06-30,59,Neutral
coinmarketcap,2023-07-01,60,Greed
coinmarketcap,2023-07-02,61,Greed
coinmarketcap,2023-07-03,61,Greed
coinmarketcap,2023-07-04,61,Greed
coinmarketcap,2023-07-05,63,Greed
coinmarketcap,2023-07-06,59,Neutral
coinmarketcap,2023-07-07,59,Neutral
coinmarketcap,2023-07-08,56,Neutral
coinmarketcap,2023-07-09,57,Neutral
coinmarketcap,2023-07-10,57,Neutral
coinmarketcap,2023-07-11,56,Neutral
coinmarketcap,2023-07-12,57,Neutral
coinmarketcap,2023-07-13,58,Neutral
coinmarketcap,2023-07-14,63,Greed
coinmarketcap,2023-07-15,58,Neutral
coinmarketcap,2023-07-16,58,Neutral
coinmarketcap,2023-07-17,57,Neutral
coinmarketcap,2023-07-18,57,Neutral
coinmarketcap,2023-07-19,55,Neutral
coinmarketcap,2023-07-20,56,Neutral
coinmarketcap,2023-07-21,55,Neutral
coinmarketcap,2023-07-22,55,Neutral
coinmarketcap,2023-07-23,54,Neutral
coinmarketcap,2023-07-24,56,Neutral
coinmarketcap,2023-07-25,52,Neutral
coinmarketcap,2023-07-26,52,Neutral
coinmarketcap,2023-07-27,52,Neutral
coinmarketcap,2023-07-28,51,Neutral
coinmarketcap,2023-07-29,52,Neutral
coinmarketcap,2023-07-30,52,Neutral
coinmarketcap,2023-07-31,52,Neutral
coinmarketcap,2023-08-01,51,Neutral
coinmarketcap,2023-08-02,53,Neutral
coinmarketcap,2023-08-03,51,Neutral
coinmarketcap,2023-08-04,51,Neutral
coinmarketcap,2023-08-05,50,Neutral
coinmarketcap,2023-08-06,50,Neutral
coinmarketcap,2023-08-07,50,Neutral
coinmarketcap,2023-08-08,50,Neutral
coinmarketcap,2023-08-09,53,Neutral
coinmarketcap,2023-08-10,52,Neutral
coinmarketcap,2023-08-11,51,Neutral
coinmarketcap,2023-08-12,51,Neutral
coinmarketcap,2023-08-13,51,Neutral
coinmarketcap,2023-08-14,50,Neutral
coinmarketcap,2023-08-15,50,Neutral
coinmarketcap,2023-08-16,49,Neutral
coinmarketcap,2023-08-17,47,Neutral
coinmarketcap,2023-08-18,37,Fear
coinmarketcap,2023-08-19,34,Fear
coinmarketcap,2023-08-20,34,Fear
coinmarketcap,2023-08-21,35,Fear
coinmarketcap,2023-08-22,34,Fear
coinmarketcap,2023-08-23,34,Fear
coinmarketcap,2023-08-24,35,Fear
coinmarketcap,2023-08-25,34,Fear
coinmarketcap,2023-08-26,34,Fear
coinmarketcap,2023-08-27,34,Fear
coinmarketcap,2023-08-28,35,Fear
coinmarketcap,2023-08-29,35,Fear
coinmarketcap,2023-08-30,42,Neutral
coinmarketcap,2023-08-31,40,Neutral
coinmarketcap,2023-09-01,35,Fear
coinmarketcap,2023-09-02,34,Fear
coinmarketcap,2023-09-03,35,Fear
coinmarketcap,2023-09-04,35,Fear
coinmarketcap,2023-09-05,35,Fear
coinmarketcap,2023-09-06,35,Fear
coinmarketcap,2023-09-07,35,Fear
coinmarketcap,2023-09-08,37,Fear
coinmarketcap,2023-09-09,35,Fear
coinmarketcap,2023-09-10,35,Fear
coinmarketcap,2023-09-11,35,Fear
coinmarketcap,2023-09-12,32,Fear
coinmarketcap,2023-09-13,34,Fear
coinmarketcap,2023-09-14,36,Fear
coinmarketcap,2023-09-15,38,Fear
coinmarketcap,2023-09-16,38,Fear
coinmarketcap,2023-09-17,38,Fear
coinmarketcap,2023-09-18,38,Fear
coinmarketcap,2023-09-19,39,Fear
coinmarketcap,2023-09-20,42,Neutral
coinmarketcap,2023-09-21,42,Neutral
coinmarketcap,2023-09-22,39,Fear
coinmarketcap,2023-09-23,39,Fear
coinmarketcap,2023-09-24,39,Fear
