asset,target,x,lag,coefficient,hac_se,t,p,n,r2,controls,lag_convention,note
btc,btc_ret,btc_etf_intensity,-5,4.794793993080123,4.8332993591622575,0.9920333165358066,0.3211812734488304,817,0.1525185313320141,spy_ret;VIXCLS_d1;DGS10_d1;btc_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
btc,btc_ret,btc_etf_intensity,-4,4.344545531905759,5.882968629425631,0.7384954443195676,0.4602134345302187,818,0.15225576718794187,spy_ret;VIXCLS_d1;DGS10_d1;btc_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
btc,btc_ret,btc_etf_intensity,-3,-1.5393086174335782,4.51106357260429,-0.3412296441091645,0.7329307083017749,819,0.1513194230897431,spy_ret;VIXCLS_d1;DGS10_d1;btc_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
btc,btc_ret,btc_etf_intensity,-2,2.394889130495664,4.540613633226969,0.5274373298292813,0.597889926078327,820,0.15144080541620808,spy_ret;VIXCLS_d1;DGS10_d1;btc_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
btc,btc_ret,btc_etf_intensity,-1,10.71590683133699,5.728899724715732,1.8704999818911499,0.06141441951260248,821,0.15388953147390128,spy_ret;VIXCLS_d1;DGS10_d1;btc_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
btc,btc_ret,btc_etf_intensity,0,56.868995023422706,5.562120487233719,10.224337130766848,1.5427982223626414e-24,820,0.27093127521324234,spy_ret;VIXCLS_d1;DGS10_d1;btc_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
btc,btc_ret,btc_etf_intensity,1,47.40678527059564,4.311859769534694,10.99450998048377,4.061133484610796e-28,819,0.2469372593058765,spy_ret;VIXCLS_d1;DGS10_d1;btc_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
btc,btc_ret,btc_etf_intensity,2,23.301806954669388,4.083221508026359,5.706721251557182,1.1517316672935896e-08,818,0.17364839909623508,spy_ret;VIXCLS_d1;DGS10_d1;btc_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
btc,btc_ret,btc_etf_intensity,3,15.095503385809982,3.813720615009249,3.9582090325128267,7.551385848010698e-05,817,0.16280326625099328,spy_ret;VIXCLS_d1;DGS10_d1;btc_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
btc,btc_ret,btc_etf_intensity,4,9.399216450675155,4.484238349027869,2.0960563910954457,0.03607718886980149,816,0.15774373477720194,spy_ret;VIXCLS_d1;DGS10_d1;btc_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
btc,btc_ret,btc_etf_intensity,5,2.9538478002172828,4.92929073437399,0.599243980400441,0.5490101984069367,815,0.1541581323586917,spy_ret;VIXCLS_d1;DGS10_d1;btc_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
btc,btc_rv_30d,btc_etf_intensity,-5,-15.326372427523793,36.30360759592179,-0.4221721598061097,0.6728993607637166,817,0.005728743342147791,spy_ret;VIXCLS_d1;DGS10_d1;btc_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
btc,btc_rv_30d,btc_etf_intensity,-4,-15.84217103761334,35.6305746099741,-0.44462294563104315,0.6565922625175129,818,0.0056757232085528075,spy_ret;VIXCLS_d1;DGS10_d1;btc_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
btc,btc_rv_30d,btc_etf_intensity,-3,-19.49740216282982,35.216148545091244,-0.5536494752645957,0.5798187593684383,819,0.005907085417036662,spy_ret;VIXCLS_d1;DGS10_d1;btc_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
btc,btc_rv_30d,btc_etf_intensity,-2,-16.378039574110314,34.94963921104845,-0.4686182731446569,0.6393425135124602,820,0.0056830364616419216,spy_ret;VIXCLS_d1;DGS10_d1;btc_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
btc,btc_rv_30d,btc_etf_intensity,-1,-9.876065753893146,36.14826656001102,-0.27320994044064434,0.7846918392008416,821,0.005319978946995763,spy_ret;VIXCLS_d1;DGS10_d1;btc_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
btc,btc_rv_30d,btc_etf_intensity,0,-2.1279902476681816,36.527694149555245,-0.05825690061232873,0.9535439975044432,820,0.005198296259972035,spy_ret;VIXCLS_d1;DGS10_d1;btc_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
btc,btc_rv_30d,btc_etf_intensity,1,-16.989219451819867,34.378748007494174,-0.4941779569202582,0.621180505870542,819,0.005721865473550025,spy_ret;VIXCLS_d1;DGS10_d1;btc_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
