module,statistic,value,robustness_note,evidence_grade_hint
ex_mvrv_exposure,BTC daily equity_beta delta_r2,0.0381878647032597,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC daily macro_rates_fx_vol delta_r2,0.0318313339745933,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC daily equity_beta delta_r2,0.0248606548016417,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC daily macro_rates_fx_vol delta_r2,0.0567382278205756,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC daily equity_beta delta_r2,0.0883560845532928,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC daily macro_rates_fx_vol delta_r2,0.016890521664998,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC weekly equity_beta delta_r2,0.0685112012247091,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC weekly macro_rates_fx_vol delta_r2,0.0365462843394198,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC weekly equity_beta delta_r2,0.0638265351725477,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC weekly macro_rates_fx_vol delta_r2,0.0544381620291822,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC weekly equity_beta delta_r2,0.1256181559634437,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC weekly macro_rates_fx_vol delta_r2,0.0280388121252515,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC daily liquidity_state delta_r2,0.0012319965909738,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC daily sentiment_state delta_r2,0.001930426871512,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC daily lagged_leverage_state delta_r2,0.0039098399591717,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC weekly liquidity_state delta_r2,0.0011036136331689,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC weekly sentiment_state delta_r2,0.0111606566468175,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC weekly lagged_leverage_state delta_r2,0.0060763996201609,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC daily equity_beta delta_r2,0.0472622774368786,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC daily macro_rates_fx_vol delta_r2,0.0168573648716441,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC daily etf_flow_lag0 delta_r2,0.0997711776901768,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC daily etf_flow_lag1 delta_r2,0.009670128400621,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC daily lagged_state delta_r2,0.010687103477836,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC weekly equity_beta delta_r2,0.0482124509616656,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC weekly macro_rates_fx_vol delta_r2,0.0238595714552954,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC weekly etf_flow_lag0 delta_r2,0.3503575045861027,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,BTC weekly lagged_state delta_r2,0.0332147858198452,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH daily equity_beta delta_r2,0.0360230329333077,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH daily macro_rates_fx_vol delta_r2,0.0287407670626901,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH daily equity_beta delta_r2,0.019316973534096,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH daily macro_rates_fx_vol delta_r2,0.0545435800612386,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH daily equity_beta delta_r2,0.1076073659046596,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH daily macro_rates_fx_vol delta_r2,0.0087641878320715,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH weekly equity_beta delta_r2,0.0532336883896528,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH weekly macro_rates_fx_vol delta_r2,0.0248131606761219,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH weekly equity_beta delta_r2,0.0416475141050689,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH weekly macro_rates_fx_vol delta_r2,0.0303767322545366,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH weekly equity_beta delta_r2,0.1142633250043887,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH weekly macro_rates_fx_vol delta_r2,0.0625416744236544,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH daily liquidity_state delta_r2,0.0022334918160248,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH daily sentiment_state delta_r2,0.0023885567791553,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH daily lagged_leverage_state delta_r2,0.0005587414642306,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH weekly liquidity_state delta_r2,0.0043968366327191,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH weekly sentiment_state delta_r2,0.0168900254625319,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH weekly lagged_leverage_state delta_r2,0.0063056803181843,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH daily equity_beta delta_r2,0.106514435957864,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH daily macro_rates_fx_vol delta_r2,0.0069794219056394,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH daily etf_flow_lag0 delta_r2,0.033732967270975,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH daily etf_flow_lag1 delta_r2,0.0017461714709319,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH daily lagged_state delta_r2,0.0294007352443124,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH weekly equity_beta delta_r2,0.1056858502004317,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH weekly macro_rates_fx_vol delta_r2,0.0503447183088097,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH weekly etf_flow_lag0 delta_r2,0.0709865784722511,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
ex_mvrv_exposure,ETH weekly lagged_state delta_r2,0.0284086735674264,"Compared daily/weekly models when accepted; reviewed multicollinearity, FDR, ridge, and local-window correlation distributions.",B
