asset,n,sample_start,sample_end,mean_daily_log_return,annualized_volatility,downside_volatility,skew,excess_kurtosis,q05_log_return,expected_shortfall_5pct,max_drawdown,median_realized_vol_30d
BTC,2292,2020-01-02,2026-04-11,0.0010136606519127948,0.6276199725417891,0.5051528683511959,-1.478451879176184,24.86256251440464,-0.04844921900617969,-0.07641430800896962,-0.7662171824858596,0.5313524897079159
ETH,2292,2020-01-02,2026-04-11,0.0012490469422242476,0.838353795080715,0.664260880549883,-1.0952726308764145,16.988819825633094,-0.06519321072234927,-0.10207788776273832,-0.7934288004599728,0.7172806394266944
