asset,regime,n,sample_start,sample_end,annualized_volatility,q05_log_return,expected_shortfall_5pct,method
BTC,pre_btc_etf,1470,2020-01-02,2024-01-10,0.6938223574813812,-0.053794345413006005,-0.08551958847737447,descriptive fixed-date regime split
ETH,pre_btc_etf,1470,2020-01-02,2024-01-10,0.9055982448672316,-0.0701041715827992,-0.1115705783132641,descriptive fixed-date regime split
BTC,btc_etf_era,822,2024-01-11,2026-04-11,0.48758002096074116,-0.03874153495316355,-0.05637112403342405,descriptive fixed-date regime split
ETH,btc_etf_era,822,2024-01-11,2026-04-11,0.7019605837469883,-0.05912817415550048,-0.08306330985710651,descriptive fixed-date regime split
BTC,eth_etf_era,628,2024-07-23,2026-04-11,0.47118109311152895,-0.03732678513380403,-0.05454261504057184,descriptive fixed-date regime split
ETH,eth_etf_era,628,2024-07-23,2026-04-11,0.7293699783726904,-0.05976351333752641,-0.08696222694639785,descriptive fixed-date regime split
