asset,flow_lag_days,return_corr,volatility_corr,n_return,n_volatility,language
BTC,-2,0.1488812792814699,-0.027083781346483062,821,821,association_grid_not_causal
BTC,-1,0.3342792774137459,-0.027398294397107503,821,821,association_grid_not_causal
BTC,0,0.3740610704405447,-0.01599153445444613,821,821,association_grid_not_causal
BTC,1,0.03380229955834727,-0.016569423460922248,821,821,association_grid_not_causal
BTC,2,0.006701129120201006,-0.02623091215634636,820,820,association_grid_not_causal
ETH,-2,0.13269899559869613,-0.07138858531869303,627,627,association_grid_not_causal
ETH,-1,0.2386444690992926,-0.0658406337468618,627,627,association_grid_not_causal
ETH,0,0.22589315384529815,-0.06172656228134057,627,627,association_grid_not_causal
ETH,1,0.08641263896995406,-0.06468501966757581,627,627,association_grid_not_causal
ETH,2,-0.006863148045598975,-0.07378235415074497,626,626,association_grid_not_causal
