asset,sample,block,partial_r2,full_r2,reduced_r2,n,n_vars,variables,method
btc,full,Macro,0.00013454797583950157,0.9207488900191318,0.9206143420432924,1940,5,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1,full_vs_reduced_block_partial_r2_not_shapley
btc,full,TradFi,0.0022517494321644656,0.9207488900191318,0.9184971405869674,1940,3,spy_ret;qqq_ret;gld_ret,full_vs_reduced_block_partial_r2_not_shapley
btc,full,Liquidity,0.000908328965605176,0.9207488900191318,0.9198405610535266,1940,2,defi_tvl_usd_ret;stables_total_usd_ret,full_vs_reduced_block_partial_r2_not_shapley
btc,full,Sentiment,3.5891373676278084e-05,0.9207488900191318,0.9207129986454555,1940,1,fng_value_d1,full_vs_reduced_block_partial_r2_not_shapley
btc,full,BTC Native ex MVRV,0.00019592216819828013,0.9207488900191318,0.9205529678509335,1940,3,cme_btc_basis_close_d1;btc_exchange_netflow_d1;btc_miner_to_exchange_flow_d1,full_vs_reduced_block_partial_r2_not_shapley
btc,full,BTC MVRV,0.7747554218387583,0.9207488900191318,0.1459934681803735,1940,1,btc_mvrv_d1,full_vs_reduced_block_partial_r2_not_shapley
btc,pre_btc_etf,Macro,0.00020110230204724275,0.9043613867259324,0.9041602844238851,1210,5,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1,full_vs_reduced_block_partial_r2_not_shapley
btc,pre_btc_etf,TradFi,0.00356932846787887,0.9043613867259324,0.9007920582580534,1210,3,spy_ret;qqq_ret;gld_ret,full_vs_reduced_block_partial_r2_not_shapley
btc,pre_btc_etf,Liquidity,0.0010767524646668905,0.9043613867259324,0.9032846342612655,1210,2,defi_tvl_usd_ret;stables_total_usd_ret,full_vs_reduced_block_partial_r2_not_shapley
btc,pre_btc_etf,Sentiment,9.728492608363092e-05,0.9043613867259324,0.9042641017998487,1210,1,fng_value_d1,full_vs_reduced_block_partial_r2_not_shapley
btc,pre_btc_etf,BTC Native ex MVRV,0.0004136596198794319,0.9043613867259324,0.9039477271060529,1210,3,cme_btc_basis_close_d1;btc_exchange_netflow_d1;btc_miner_to_exchange_flow_d1,full_vs_reduced_block_partial_r2_not_shapley
btc,pre_btc_etf,BTC MVRV,0.7589058935653508,0.9043613867259324,0.14545549316058148,1210,1,btc_mvrv_d1,full_vs_reduced_block_partial_r2_not_shapley
btc,post_btc_etf,Macro,0.0008154820207349888,0.9727872987245908,0.9719718167038558,729,5,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1,full_vs_reduced_block_partial_r2_not_shapley
btc,post_btc_etf,TradFi,0.0003985534841219079,0.9727872987245908,0.9723887452404689,729,3,spy_ret;qqq_ret;gld_ret,full_vs_reduced_block_partial_r2_not_shapley
btc,post_btc_etf,Liquidity,0.0005182214797545124,0.9727872987245908,0.9722690772448364,729,2,defi_tvl_usd_ret;stables_total_usd_ret,full_vs_reduced_block_partial_r2_not_shapley
btc,post_btc_etf,Sentiment,2.7930741599456485e-05,0.9727872987245908,0.9727593679829913,729,1,fng_value_d1,full_vs_reduced_block_partial_r2_not_shapley
btc,post_btc_etf,BTC Native ex MVRV,0.0003191027897292746,0.9727872987245908,0.9724681959348616,729,3,cme_btc_basis_close_d1;btc_exchange_netflow_d1;btc_miner_to_exchange_flow_d1,full_vs_reduced_block_partial_r2_not_shapley
