asset,frequency,alpha,feature_id,ridge_coef,sign,abs_rank
BTC,daily,0.1,qqq_ret,0.00442571251433939,positive,11
BTC,daily,0.1,spy_ret,-0.048728700931106775,negative,4
BTC,daily,0.1,vix_d1,0.009269034780102993,positive,9
BTC,daily,0.1,dxy_ret,-0.030172751158764898,negative,7
BTC,daily,0.1,real_yield_d1,0.009130616562958214,positive,10
BTC,daily,0.1,nominal_10y_d1,-0.002014559430106494,negative,13
BTC,daily,0.1,gold_ret,-0.002939023699481106,negative,12
BTC,daily,0.1,btc_etf_flow_intensity,0.05402248166942823,positive,3
BTC,daily,0.1,stablecoin_supply_growth,0.1296351828060683,positive,1
BTC,daily,0.1,defi_tvl_growth,-0.04061521146619171,negative,5
BTC,daily,0.1,fear_greed_altme,-0.020489521031233138,negative,8
BTC,daily,0.1,btc_oi_growth,-0.07532968762335623,negative,2
BTC,daily,0.1,btc_funding_z,0.04038590023165461,positive,6
BTC,daily,1.0,qqq_ret,0.0032167272526096194,positive,11
BTC,daily,1.0,spy_ret,-0.0472088876462844,negative,4
BTC,daily,1.0,vix_d1,0.00953352364220423,positive,9
BTC,daily,1.0,dxy_ret,-0.030153861435486533,negative,7
BTC,daily,1.0,real_yield_d1,0.009148981861781305,positive,10
BTC,daily,1.0,nominal_10y_d1,-0.0019478117071106203,negative,13
BTC,daily,1.0,gold_ret,-0.002938290788232095,negative,12
BTC,daily,1.0,btc_etf_flow_intensity,0.053911384759259294,positive,3
BTC,daily,1.0,stablecoin_supply_growth,0.12841730183920633,positive,1
BTC,daily,1.0,defi_tvl_growth,-0.04044327625124939,negative,5
BTC,daily,1.0,fear_greed_altme,-0.020375840859535966,negative,8
BTC,daily,1.0,btc_oi_growth,-0.0751730460092959,negative,2
BTC,daily,1.0,btc_funding_z,0.040340430008457044,positive,6
BTC,daily,10.0,qqq_ret,-0.004438428151946884,negative,11
BTC,daily,10.0,spy_ret,-0.03749179159085008,negative,6
BTC,daily,10.0,vix_d1,0.011344335504750828,positive,9
BTC,daily,10.0,dxy_ret,-0.02998076939922653,negative,7
BTC,daily,10.0,real_yield_d1,0.0089781825180527,positive,10
BTC,daily,10.0,nominal_10y_d1,-0.0012759029867023329,negative,13
BTC,daily,10.0,gold_ret,-0.002958336678020339,negative,12
BTC,daily,10.0,btc_etf_flow_intensity,0.05281462892351995,positive,3
BTC,daily,10.0,stablecoin_supply_growth,0.11743728779118837,positive,1
BTC,daily,10.0,defi_tvl_growth,-0.038861242521940884,negative,5
BTC,daily,10.0,fear_greed_altme,-0.019296219264562594,negative,8
BTC,daily,10.0,btc_oi_growth,-0.07363911487669073,negative,2
BTC,daily,10.0,btc_funding_z,0.03987153987451744,positive,4
BTC,daily,100.0,qqq_ret,-0.014946953521432355,negative,9
BTC,daily,100.0,spy_ret,-0.021554642812020994,negative,7
BTC,daily,100.0,vix_d1,0.015903642735479385,positive,8
BTC,daily,100.0,dxy_ret,-0.02775506581075071,negative,6
BTC,daily,100.0,real_yield_d1,0.006443857150108821,positive,11
BTC,daily,100.0,nominal_10y_d1,0.0012498909848579637,positive,13
BTC,daily,100.0,gold_ret,-0.0033762485110114884,negative,12
BTC,daily,100.0,btc_etf_flow_intensity,0.043692093955813235,positive,3
BTC,daily,100.0,stablecoin_supply_growth,0.0638641789346747,positive,1
BTC,daily,100.0,defi_tvl_growth,-0.028844327134997006,negative,5
BTC,daily,100.0,fear_greed_altme,-0.012333572064406866,negative,10
BTC,daily,100.0,btc_oi_growth,-0.06110196920124993,negative,2
BTC,daily,100.0,btc_funding_z,0.034990666818604514,positive,4
ETH,daily,0.1,qqq_ret,0.03003072678977102,positive,7
ETH,daily,0.1,spy_ret,-0.06536252121922588,negative,3
ETH,daily,0.1,vix_d1,0.020069210273354593,positive,9
ETH,daily,0.1,dxy_ret,0.013945492542670357,positive,11
ETH,daily,0.1,real_yield_d1,0.029243450566536464,positive,8
ETH,daily,0.1,nominal_10y_d1,0.04919948934023946,positive,5
ETH,daily,0.1,gold_ret,-0.00435155567181,negative,13
ETH,daily,0.1,eth_etf_flow_intensity,0.07383876480260514,positive,2
ETH,daily,0.1,stablecoin_supply_growth,0.1145357463119533,positive,1
ETH,daily,0.1,defi_tvl_growth,-0.04288609580599334,negative,6
ETH,daily,0.1,fear_greed_altme,-0.014752376115028831,negative,10
ETH,daily,0.1,eth_oi_growth,0.012291280557340252,positive,12
ETH,daily,0.1,eth_funding_z,0.05347581119033436,positive,4
ETH,daily,1.0,qqq_ret,0.027371926931227326,positive,8
ETH,daily,1.0,spy_ret,-0.062194392187638635,negative,3
ETH,daily,1.0,vix_d1,0.020430960613698028,positive,9
ETH,daily,1.0,dxy_ret,0.013942354010997037,positive,11
ETH,daily,1.0,real_yield_d1,0.02966299081121254,positive,7
ETH,daily,1.0,nominal_10y_d1,0.048941251707977446,positive,5
ETH,daily,1.0,gold_ret,-0.004314622896534258,negative,13
ETH,daily,1.0,eth_etf_flow_intensity,0.07374572488808402,positive,2
ETH,daily,1.0,stablecoin_supply_growth,0.11322492850414678,positive,1
ETH,daily,1.0,defi_tvl_growth,-0.0426461678298782,negative,6
ETH,daily,1.0,fear_greed_altme,-0.014586871076433637,negative,10
ETH,daily,1.0,eth_oi_growth,0.012317359600594947,positive,12
ETH,daily,1.0,eth_funding_z,0.053384976301879335,positive,4
ETH,daily,10.0,qqq_ret,0.01201844863786504,positive,12
ETH,daily,10.0,spy_ret,-0.04402508331470899,negative,5
ETH,daily,10.0,vix_d1,0.022277887490422768,positive,8
ETH,daily,10.0,dxy_ret,0.013817650213862703,positive,9
ETH,daily,10.0,real_yield_d1,0.03203000919096557,positive,7
ETH,daily,10.0,nominal_10y_d1,0.04722779201690206,positive,4
ETH,daily,10.0,gold_ret,-0.0041181004094883985,negative,13
ETH,daily,10.0,eth_etf_flow_intensity,0.07280327347115827,positive,2
ETH,daily,10.0,stablecoin_supply_growth,0.10162486540242277,positive,1
ETH,daily,10.0,defi_tvl_growth,-0.04054328416570381,negative,6
ETH,daily,10.0,fear_greed_altme,-0.013078770077266978,negative,10
ETH,daily,10.0,eth_oi_growth,0.012361722153995162,positive,11
ETH,daily,10.0,eth_funding_z,0.05250366479755927,positive,3
ETH,daily,100.0,qqq_ret,-0.007323732302879161,negative,11
ETH,daily,100.0,spy_ret,-0.02073136331233959,negative,8
ETH,daily,100.0,vix_d1,0.02175153602042317,positive,7
ETH,daily,100.0,dxy_ret,0.012197683015618918,positive,9
ETH,daily,100.0,real_yield_d1,0.032555720565684065,positive,5
ETH,daily,100.0,nominal_10y_d1,0.04082953769883764,positive,4
ETH,daily,100.0,gold_ret,-0.004280454251031498,negative,13
ETH,daily,100.0,eth_etf_flow_intensity,0.06362409920674328,positive,1
ETH,daily,100.0,stablecoin_supply_growth,0.05100941716780355,positive,2
ETH,daily,100.0,defi_tvl_growth,-0.028296947982391716,negative,6
ETH,daily,100.0,fear_greed_altme,-0.004845675690218839,negative,12
ETH,daily,100.0,eth_oi_growth,0.011125553069520951,positive,10
ETH,daily,100.0,eth_funding_z,0.045074856131369787,positive,3
