event_id,event_date,category,asset,window_days,pre_window_return,post_window_return,volatility_change,metric_family,language
btc_spot_etf_launch,2024-01-11,primary,BTC,10,0.0983031666991323,-0.1154409854037226,0.05274408083692084,return_volatility,descriptive_event_window
btc_spot_etf_launch,2024-01-11,primary,ETH,10,0.12471196612796565,-0.050647081910497604,0.08165568602057205,return_volatility,descriptive_event_window
eth_spot_etf_launch,2024-07-23,primary,BTC,10,0.15398526351163966,-0.09477474553454357,0.0033741043986224573,return_volatility,descriptive_event_window
eth_spot_etf_launch,2024-07-23,primary,ETH,10,0.09311503587997372,-0.14056125044113266,0.05407822281535046,return_volatility,descriptive_event_window
bitcoin_halving_2024,2024-04-20,primary,BTC,10,-0.07972180377622529,-0.050946241849414875,-0.1662475969617896,return_volatility,descriptive_event_window
bitcoin_halving_2024,2024-04-20,primary,ETH,10,-0.13710693416618902,-0.014174771306553424,-0.1641391821387833,return_volatility,descriptive_event_window
dencun_upgrade,2024-03-13,secondary,BTC,10,0.1415544174169927,-0.11013731920273528,0.14545938401770298,return_volatility,descriptive_event_window
dencun_upgrade,2024-03-13,secondary,ETH,10,0.15061480852672204,-0.17788528219947608,0.18923689970271795,return_volatility,descriptive_event_window
luna_collapse_2022,2022-05-09,secondary,BTC,10,-0.15499392979633164,-0.11640352352537242,0.20105595375947172,return_volatility,descriptive_event_window
luna_collapse_2022,2022-05-09,secondary,ETH,10,-0.15320027256282653,-0.22171753880668366,0.23861187645587723,return_volatility,descriptive_event_window
ftx_collapse_2022,2022-11-08,secondary,BTC,10,-0.00024421426531695545,-0.20853829877278862,0.4792309452944457,return_volatility,descriptive_event_window
ftx_collapse_2022,2022-11-08,secondary,ETH,10,0.008572191095787218,-0.25745413949971585,0.6166280314743424,return_volatility,descriptive_event_window
svb_crisis_2023,2023-03-10,secondary,BTC,10,-0.1432617431027854,0.30659933101958536,0.1344038055774761,return_volatility,descriptive_event_window
svb_crisis_2023,2023-03-10,secondary,ETH,10,-0.12807688428347852,0.18705806908155687,0.06046074420328129,return_volatility,descriptive_event_window
yen_carry_unwind_2024,2024-08-05,secondary,BTC,10,-0.12354406178083543,-0.010435952476624877,0.16042869146994226,return_volatility,descriptive_event_window
yen_carry_unwind_2024,2024-08-05,secondary,ETH,10,-0.1661630192567749,-0.0452172865951308,0.23698729572359123,return_volatility,descriptive_event_window
sec_generic_etp_listing_standards_2025,2025-09-17,secondary,BTC,10,0.05816909007777937,-0.06318008059215963,-0.06392420881473149,return_volatility,descriptive_event_window
sec_generic_etp_listing_standards_2025,2025-09-17,secondary,ETH,10,0.05206848357076588,-0.1132983298108563,-0.21399254422003033,return_volatility,descriptive_event_window
crypto_liquidation_tariff_shock_2025,2025-10-10,secondary,BTC,10,0.06241583234580794,-0.09614555049876827,0.14832802982085003,return_volatility,descriptive_event_window
crypto_liquidation_tariff_shock_2025,2025-10-10,secondary,ETH,10,0.03567559663534681,-0.09333545684668287,0.26206953646569964,return_volatility,descriptive_event_window
