date,metric,value
2021-09-04,rwa_onchain_mcap_usd,815241428.0
2021-09-05,rwa_onchain_mcap_usd,793107142.0
2021-09-06,rwa_onchain_mcap_usd,821949350.0
2021-09-07,rwa_onchain_mcap_usd,823354524.0
2021-09-08,rwa_onchain_mcap_usd,780476256.0
2021-09-09,rwa_onchain_mcap_usd,769507894.0
2021-09-10,rwa_onchain_mcap_usd,775757719.0
2021-09-11,rwa_onchain_mcap_usd,782007544.0
2021-09-12,rwa_onchain_mcap_usd,758723622.0
2021-09-13,rwa_onchain_mcap_usd,756875222.0
2021-09-14,rwa_onchain_mcap_usd,776237574.0
2021-09-15,rwa_onchain_mcap_usd,769242701.0
2021-09-16,rwa_onchain_mcap_usd,762247828.0
2021-09-17,rwa_onchain_mcap_usd,787699096.0
2021-09-18,rwa_onchain_mcap_usd,792400244.0
2021-09-19,rwa_onchain_mcap_usd,795730084.0
2021-09-20,rwa_onchain_mcap_usd,791981027.0
2021-09-21,rwa_onchain_mcap_usd,788231970.0
2021-09-22,rwa_onchain_mcap_usd,810511858.0
2021-09-23,rwa_onchain_mcap_usd,803915556.0
2021-09-24,rwa_onchain_mcap_usd,804881168.0
2021-09-25,rwa_onchain_mcap_usd,804101762.0
2021-09-26,rwa_onchain_mcap_usd,816042968.0
2021-09-27,rwa_onchain_mcap_usd,797032498.0
2021-09-28,rwa_onchain_mcap_usd,796482630.0
2021-09-29,rwa_onchain_mcap_usd,808872886.0
2021-09-30,rwa_onchain_mcap_usd,786499866.0
2021-10-01,rwa_onchain_mcap_usd,804067056.0
2021-10-02,rwa_onchain_mcap_usd,803984530.0
2021-10-03,rwa_onchain_mcap_usd,809615034.0
2021-10-04,rwa_onchain_mcap_usd,813254446.0
2021-10-05,rwa_onchain_mcap_usd,818222872.0
2021-10-06,rwa_onchain_mcap_usd,832265644.0
2021-10-07,rwa_onchain_mcap_usd,830306878.0
2021-10-08,rwa_onchain_mcap_usd,817817934.0
2021-10-09,rwa_onchain_mcap_usd,813002908.0
2021-10-10,rwa_onchain_mcap_usd,827434534.0
2021-10-11,rwa_onchain_mcap_usd,803247432.0
2021-10-12,rwa_onchain_mcap_usd,826013898.0
2021-10-13,rwa_onchain_mcap_usd,804935070.0
2021-10-14,rwa_onchain_mcap_usd,840357796.0
2021-10-15,rwa_onchain_mcap_usd,841669186.0
2021-10-16,rwa_onchain_mcap_usd,812539762.0
2021-10-17,rwa_onchain_mcap_usd,831344296.0
2021-10-18,rwa_onchain_mcap_usd,828503396.0
2021-10-19,rwa_onchain_mcap_usd,847609436.0
2021-10-20,rwa_onchain_mcap_usd,841702804.0
