date,btc_dominance_close
2014-04-01,99.38465167068324
2014-04-02,99.33838747136222
2014-04-03,99.39942608945992
2014-04-04,99.41050109222984
2014-04-05,99.46084351305666
2014-04-06,99.42981933029183
2014-04-07,99.416425367597
2014-04-08,99.42637268498092
2014-04-09,99.42609524302377
2014-04-10,99.4652642779254
2014-04-11,99.39962172138904
2014-04-12,99.42624937725326
2014-04-13,99.43745051576936
2014-04-14,99.39938409859212
2014-04-15,99.37730481919426
2014-04-16,99.29687579324148
2014-04-17,99.26964847498002
2014-04-18,99.29044551814631
2014-04-19,99.21322197475672
2014-04-20,99.215718694692
2014-04-21,99.26523592141812
2014-04-22,99.27280046701055
2014-04-23,99.27978719523624
2014-04-24,99.29938925572486
2014-04-25,99.2841227385863
2014-04-26,99.30583303449974
2014-04-27,99.23993499045154
2014-04-28,99.2572676205187
2014-04-29,99.2123914272896
2014-04-30,99.24301995670184
2014-05-01,99.20236597330992
2014-05-02,99.2229081225546
2014-05-03,99.28314117997029
2014-05-04,99.24090444369368
2014-05-05,99.26798961694632
2014-05-06,99.25478515996716
2014-05-07,99.23083713083288
2014-05-08,99.2376913123498
2014-05-09,99.18516240180575
2014-05-10,99.1924154428845
2014-05-11,99.1708747564106
2014-05-12,99.16686945645526
2014-05-13,99.16972454390702
2014-05-14,99.08756612608144
2014-05-15,98.9221283841116
2014-05-16,99.01455341721066
2014-05-17,99.05534637530072
2014-05-18,98.91942350541146
2014-05-19,98.90161394136456
2014-05-20,98.95364316824391
2014-05-21,98.91091213603067
2014-05-22,98.77282781209873
2014-05-23,98.68257541086864
2014-05-24,98.756431107009
2014-05-25,98.71033509989113
2014-05-26,98.93663335451006
2014-05-27,98.9510353488322
2014-05-28,99.18435455135784
2014-05-29,99.02090483553113
2014-05-30,99.05070975360697
2014-05-31,99.08510650424648
2014-06-01,98.91428242114272
2014-06-02,98.8927716233126
2014-06-03,98.96148948740225
2014-06-04,99.0249382674338
2014-06-05,99.14685748986128
2014-06-06,99.05234851273622
2014-06-07,99.11836749673353
2014-06-08,99.16854742590324
2014-06-09,99.15902880372266
2014-06-10,99.02907715709568
2014-06-11,99.06102103560444
2014-06-12,99.0086811250275
2014-06-13,99.00734044413078
2014-06-14,99.0052442592471
2014-06-15,99.02764613670526
2014-06-16,99.03343333137803
2014-06-17,99.05943064049067
2014-06-18,99.05113836331655
2014-06-19,99.0076828784221
2014-06-20,99.04624101930412
2014-06-21,99.10639959899422
2014-06-22,98.94930993785276
2014-06-23,98.94445749411491
2014-06-24,98.98716633479653
2014-06-25,99.06353470698213
2014-06-26,98.98241128181486
2014-06-27,99.00578201365376
2014-06-28,99.0586671351598
2014-06-29,99.07205274201958
2014-06-30,99.16354972515316
2014-07-01,99.22650364098284
2014-07-02,99.3234697229545
2014-07-03,99.22763423637714
2014-07-04,99.18865460190362
2014-07-05,99.26614910909538
2014-07-06,99.27011060285744
2014-07-07,99.2700593960436
2014-07-08,99.19430564175612
2014-07-09,99.2000467401289
2014-07-10,99.20662464816162
2014-07-11,99.22512050370317
2014-07-12,99.24036785678484
2014-07-13,99.2577303813756
2014-07-14,99.25449210770704
2014-07-15,99.24451735210953
2014-07-16,99.26037045388992
2014-07-17,99.16665286453396
2014-07-18,99.20666475767538
2014-07-19,99.22505153991172
2014-07-20,99.2134452761064
2014-07-21,99.22805981238768
2014-07-22,99.26569871338565
2014-07-23,99.26606740699
2014-07-24,99.28827851416156
2014-07-25,99.28743255257302
2014-07-26,99.29093558731768
2014-07-27,99.29643162062838
2014-07-28,99.32734575639198
2014-07-29,99.35316448597489
2014-07-30,99.36462109803736
2014-07-31,99.32614801566804
2014-08-01,99.21307497873386
2014-08-02,99.256008212422
2014-08-03,99.24903575685111
2014-08-04,99.29156762219895
2014-08-05,99.3040456139814
2014-08-06,99.30619990813832
2014-08-07,99.319082071842
2014-08-08,99.32810862667898
2014-08-09,99.34025809477532
2014-08-10,99.33911891635483
2014-08-11,99.39981118451176
2014-08-12,99.3898109521034
2014-08-13,99.39091408973016
2014-08-14,99.382776043702
2014-08-15,99.43275850598438
2014-08-16,99.1462762001898
2014-08-17,99.18202900648842
2014-08-18,99.27835421219908
2014-08-19,99.12778843939208
2014-08-20,98.97902797582788
2014-08-21,98.9262342651881
2014-08-22,98.64211974060402
2014-08-23,98.67851121717185
2014-08-24,98.59288225261297
2014-08-25,98.0684492972075
2014-08-26,98.39190664521531
2014-08-27,98.3918476522709
2014-08-28,98.46354688721894
2014-08-29,98.74051455753212
2014-08-30,98.56675724163266
2014-08-31,98.51095835636616
2014-09-01,98.57565105643768
2014-09-02,98.60205261771368
2014-09-03,98.392970137506
2014-09-04,98.40509002898835
2014-09-05,98.39863351900352
2014-09-06,98.32748378525552
2014-09-07,98.34779676265867
2014-09-08,98.18355649022496
2014-09-09,98.19002671382124
2014-09-10,98.13017311117682
2014-09-11,98.12890377881722
2014-09-12,98.13919724900418
2014-09-13,98.08264291456432
2014-09-14,98.05794706903632
2014-09-15,98.10650888915929
2014-09-16,98.08163349256596
2014-09-17,98.12470647168784
2014-09-18,97.97496756240324
2014-09-19,97.92451196256587
2014-09-20,97.98823244513969
2014-09-21,98.00288003013856
2014-09-22,97.92296724327808
2014-09-23,97.99489202109936
2014-09-24,97.95293337049844
2014-09-25,97.87986614871036
2014-09-26,97.60428829153508
2014-09-27,97.67372441044104
2014-09-28,97.64979167983527
2014-09-29,97.66705139813484
2014-09-30,97.6642375072137
2014-10-01,97.71141115033268
2014-10-02,97.75920138485556
2014-10-03,97.74102066968145
2014-10-04,97.66361606185632
2014-10-05,97.67671237939813
2014-10-06,97.73369319715658
2014-10-07,97.78408036789088
2014-10-08,97.81060953222888
2014-10-09,97.95237832748444
2014-10-10,98.01749762878804
2014-10-11,98.00513845294232
2014-10-12,98.03600321797846
2014-10-13,98.08292180997994
2014-10-14,98.18911859083784
2014-10-15,98.24182420092345
2014-10-16,98.2367723330118
2014-10-17,98.24550072104184
2014-10-18,98.33228725212406
2014-10-19,98.39097452266498
2014-10-20,98.40679280226318
2014-10-21,98.3072211686195
2014-10-22,98.20686573934876
2014-10-23,98.2777495610607
2014-10-24,98.23654727298464
2014-10-25,98.2319753747498
2014-10-26,98.28183685587268
2014-10-27,98.278205242159
2014-10-28,98.274625836405
2014-10-29,98.32369687334948
2014-10-30,98.4533724736085
2014-10-31,98.4851129608114
2014-11-01,98.55943346234368
2014-11-02,98.47922841562736
2014-11-03,98.52269264215178
2014-11-04,98.5112742260953
2014-11-05,98.44663544524629
2014-11-06,98.49518320956784
2014-11-07,98.44642127050123
2014-11-08,98.27626193430756
2014-11-09,98.34850335027063
2014-11-10,98.44138637344936
2014-11-11,98.4763557754047
2014-11-12,98.60407513657508
2014-11-13,98.56958539155752
2014-11-14,98.5490549557758
2014-11-15,98.55544102031828
2014-11-16,98.5771359710063
2014-11-17,98.64773282360083
2014-11-18,98.69795966960324
2014-11-19,98.70264352588003
2014-11-20,98.70507991834656
2014-11-21,98.61130396120392
2014-11-22,98.58913710241308
2014-11-23,98.38873936990478
2014-11-24,98.45063983681943
2014-11-25,98.426442879834
2014-11-26,98.46637529469612
2014-11-27,98.40857923904036
2014-11-28,98.41340359532872
2014-11-29,98.30649665084096
2014-11-30,98.35582863284748
2014-12-01,98.34376762939544
2014-12-02,98.32720275401246
2014-12-03,98.32589058908758
2014-12-04,98.3600404737948
2014-12-05,98.36480987505068
2014-12-06,98.42637126249524
2014-12-07,98.41222032998472
2014-12-08,98.44749634122935
2014-12-09,98.45814319422186
2014-12-10,98.49939831749788
2014-12-11,98.46982511205526
2014-12-12,98.37942309057108
2014-12-13,98.4048814578866
2014-12-14,98.39804719350587
2014-12-15,98.44620095810036
2014-12-16,98.52436204172776
2014-12-17,98.44832376616924
2014-12-18,98.45146734611154
2014-12-19,98.41310652619836
2014-12-20,98.40004533920904
