feature,block,correlation,abs_correlation
btc_mvrv_d1,BTC Native Valuation,0.9839,0.9839
btc_etf_intensity,ETF Flow,0.372,0.372
spy_ret,TradFi,0.3659,0.3659
qqq_ret,TradFi,0.3575,0.3575
VIXCLS_d1,Macro,-0.3508,0.3508
btc_exchange_netflow_d1,BTC Native Flow,-0.1328,0.1328
gld_ret,TradFi,0.1158,0.1158
btc_miner_to_exchange_flow_d1,BTC Native Flow,-0.103,0.103
DTWEXBGS_d1,Macro,-0.0944,0.0944
DGS2_d1,Macro,0.071,0.071
DGS10_d1,Macro,0.0613,0.0613
cme_btc_basis_close_d1,BTC Native Flow,0.0494,0.0494
DFF_d1,Macro,-0.0326,0.0326
defi_tvl_usd_ret,Liquidity,-0.032,0.032
stables_total_usd_ret,Liquidity,-0.031,0.031
fng_value_d1,Sentiment,-0.0193,0.0193
