month,entries,exits,rank_persistence
2020-02,6,6,0.94
2020-03,8,8,0.92
2020-04,9,9,0.91
2020-05,6,6,0.94
2020-06,9,9,0.91
2020-07,10,10,0.9
2020-08,16,16,0.84
2020-09,10,10,0.9
2020-10,11,11,0.89
2020-11,6,6,0.94
2020-12,9,9,0.91
2021-01,11,11,0.89
2021-02,12,12,0.88
2021-03,7,7,0.93
2021-04,10,10,0.9
2021-05,11,11,0.89
2021-06,5,5,0.95
2021-07,6,6,0.94
2021-08,6,6,0.94
2021-09,11,11,0.89
2021-10,8,8,0.92
2021-11,10,10,0.9
2021-12,8,8,0.92
2022-01,7,7,0.93
2022-02,6,6,0.94
2022-03,7,7,0.93
2022-04,5,5,0.95
2022-05,5,5,0.95
2022-06,6,6,0.94
2022-07,8,8,0.92
2022-08,8,8,0.92
2022-09,9,9,0.91
2022-10,8,8,0.92
2022-11,6,6,0.94
2022-12,5,5,0.95
2023-01,5,5,0.95
2023-02,9,9,0.91
2023-03,10,10,0.9
2023-04,6,6,0.94
2023-05,5,5,0.95
2023-06,1,1,0.99
2023-07,3,3,0.97
2023-08,3,3,0.97
2023-09,2,2,0.98
2023-10,3,3,0.97
2023-11,11,11,0.89
2023-12,10,10,0.9
2024-01,11,11,0.89
2024-02,12,12,0.88
2024-03,14,14,0.86
2024-04,10,10,0.9
2024-05,7,7,0.93
2024-06,6,6,0.94
2024-07,5,5,0.95
2024-08,8,8,0.92
2024-09,7,7,0.93
2024-10,6,6,0.94
2024-11,8,8,0.92
2024-12,11,11,0.89
2025-01,9,9,0.91
2025-02,5,5,0.95
2025-03,8,8,0.92
2025-04,7,7,0.93
2025-05,7,7,0.93
2025-06,8,8,0.92
2025-07,7,7,0.93
2025-08,5,5,0.95
2025-09,9,9,0.91
2025-10,8,8,0.92
2025-11,8,8,0.92
2025-12,5,5,0.95
2026-01,4,4,0.96
2026-02,8,8,0.92
2026-03,8,8,0.92
2026-04,8,8,0.92
2026-05,5,5,0.95
2026-06,4,4,0.96
