feature,block,model_family,n,missing_pct,correlation,abs_correlation,univariate_beta,univariate_hac_t,univariate_r2,standardized_multivar_beta,multivar_hac_t,multivar_p,multivar_r2,drop_one_delta_r2,note,rank_by_abs_corr,rank_by_abs_t,rank_by_delta_r2
DGS10_d1,Macro,btc_full_with_mvrv,1940,0.1539,0.019609,0.019609,0.012245,0.7609,0.000385,0.006448,0.5532,0.58015,0.920749,1.7e-05,ok,13,14,14
DGS2_d1,Macro,btc_full_with_mvrv,1940,0.1539,0.012332,0.012332,0.007965,0.4882,0.000152,-0.002747,-0.2445,0.80687,0.920749,3e-06,ok,15,15,15
VIXCLS_d1,Macro,btc_full_with_mvrv,1940,0.1539,-0.334955,0.334955,-0.00699,-12.641,0.112195,0.008898,0.6213,0.53439,0.920749,2.9e-05,ok,4,13,12
DTWEXBGS_d1,Macro,btc_full_with_mvrv,1940,0.1539,-0.13621,0.13621,-0.012915,-5.2418,0.018553,0.005987,0.6541,0.513072,0.920749,2.7e-05,ok,5,11,13
DFF_d1,Macro,btc_full_with_mvrv,1940,0.1539,-0.028804,0.028804,-0.376543,-1.0056,0.00083,-0.007649,-0.8847,0.376308,0.920749,5.7e-05,ok,10,9,7
spy_ret,TradFi,btc_full_with_mvrv,1940,0.1539,0.339392,0.339392,1.113345,13.0545,0.115187,0.038845,1.8026,0.071456,0.920749,0.000156,ok,3,4,4
qqq_ret,TradFi,btc_full_with_mvrv,1940,0.1539,0.34077,0.34077,0.856868,13.4501,0.116124,0.031417,1.7643,0.077681,0.920749,0.000128,ok,2,5,5
gld_ret,TradFi,btc_full_with_mvrv,1940,0.1539,0.115319,0.115319,0.399188,4.38,0.013299,0.02134,3.0966,0.001958,0.920749,0.00036,ok,6,2,3
defi_tvl_usd_ret,Liquidity,btc_full_with_mvrv,1940,0.1539,0.020766,0.020766,0.022696,0.7886,0.000431,0.008117,0.8576,0.391089,0.920749,4.9e-05,ok,11,10,9
stables_total_usd_ret,Liquidity,btc_full_with_mvrv,1940,0.1539,0.013408,0.013408,0.082989,0.4247,0.00018,0.028114,3.056,0.002243,0.920749,0.000754,ok,14,3,2
fng_value_d1,Sentiment,btc_full_with_mvrv,1940,0.1539,-0.0297,0.0297,-0.000159,-1.2326,0.000882,0.00687,0.9117,0.361912,0.920749,3.6e-05,ok,9,8,10
cme_btc_basis_close_d1,BTC Native Flow,btc_full_with_mvrv,1940,0.1539,0.045483,0.045483,4e-06,1.7824,0.002069,-0.010018,-1.3873,0.165359,0.920749,9.9e-05,ok,7,6,6
btc_exchange_netflow_d1,BTC Native Flow,btc_full_with_mvrv,1940,0.1539,-0.020432,0.020432,-0.0,-0.6759,0.000417,0.005882,0.6236,0.53292,0.920749,3.4e-05,ok,12,12,11
btc_miner_to_exchange_flow_d1,BTC Native Flow,btc_full_with_mvrv,1940,0.1539,-0.034227,0.034227,-0.0,-1.3049,0.001172,0.007385,1.355,0.175423,0.920749,5.4e-05,ok,8,7,8
btc_mvrv_d1,BTC Native Valuation,btc_full_with_mvrv,1940,0.1539,0.956752,0.956752,0.488248,49.7734,0.915375,0.938977,48.8238,0.0,0.920749,0.774755,ok,1,1,1
