date,btc_etf_net_flow_usd,btc_ret,btc_realized_vol_30d,asset,eth_etf_net_flow_usd,eth_ret,eth_realized_vol_30d
2024-10-29,870100000.0,0.039123340828240316,0.40278910540764484,BTC,,,
2024-10-30,893300000.0,-0.00530186118791498,0.3789818318028753,BTC,,,
2024-11-06,621900000.0,0.08646502391539101,0.4713727978343743,BTC,,,
2024-11-07,1373800000.0,0.003458077878034871,0.4705620251269655,BTC,,,
2024-11-11,1114100000.0,0.0982338479072542,0.5605357087106356,BTC,,,
2024-11-12,817500000.0,-0.007937927618208107,0.5614911858227526,BTC,,,
2024-11-19,829500000.0,0.020676054977625924,0.585280955639339,BTC,,,
2024-11-20,773400000.0,0.02094135571653588,0.5730649343239231,BTC,,,
2024-11-21,1005100000.0,0.042188366663399535,0.5816317106177995,BTC,,,
2025-01-03,908100000.0,0.012675884481041066,0.448569000870888,BTC,,,
2025-01-06,978600000.0,0.03920663528287882,0.4539620010827531,BTC,,,
2025-01-17,1072800000.0,0.04030596273651632,0.44610072042601656,BTC,,,
2025-02-25,-1113700000.0,-0.03378137734794073,0.3643340102900076,BTC,,,
2025-02-26,-757800000.0,-0.04894847273800096,0.395432055868602,BTC,,,
2025-04-22,936500000.0,0.06603842095050538,0.5681605329318313,BTC,,,
2025-04-23,917000000.0,0.0025154208293063363,0.5662053828742141,BTC,,,
2025-05-22,934800000.0,0.018291326455877055,0.30909312715747345,BTC,,,
2025-07-10,1175600000.0,0.041714983577250564,0.31493690028937443,BTC,,,
2025-07-11,1029599999.9999999,0.013283988802255564,0.31200386924872714,BTC,,,
2025-10-06,1205200000.0,0.009758646952029437,0.2751637278051632,BTC,,,
2025-11-13,-866700000.0,-0.020016668589462938,0.3809975152393152,BTC,,,
2025-11-20,-903200000.0,-0.05530480795998294,0.4344627232615247,BTC,,,
2026-01-13,753800000.0,0.044725619136341876,0.2822692751744842,BTC,,,
2026-01-14,840600000.0,0.01626894906997478,0.27382409801150936,BTC,,,
2026-01-29,-817800000.0,-0.05184546735849693,0.3747535656757702,BTC,,,
2025-07-16,,,,ETH,726600000.0,0.07134763827164115,0.6418880036607465
2025-07-17,,,,ETH,602000000.0,0.03125569899147429,0.6411497586095521
2025-07-18,,,,ETH,402500000.0,0.019880667782752326,0.6415291343420462
2025-07-22,,,,ETH,533799999.99999994,-0.004194530254435946,0.5542461171899696
2025-07-23,,,,ETH,332200000.0,-0.032104923550487996,0.5326262081768564
2025-07-25,,,,ETH,452800000.0,0.0044876275493273,0.5261173162764691
2025-08-04,,,,ETH,-465100000.0,0.06189529690553641,0.5853768813756891
2025-08-08,,,,ETH,461000000.0,0.025232293254216387,0.6001831191616078
2025-08-11,,,,ETH,1018800000.0,-0.006533000880022399,0.5992424612573829
2025-08-12,,,,ETH,523900000.0,0.08306343712519926,0.6482475493690544
2025-08-13,,,,ETH,729100000.0,0.0344485594236108,0.6519700397331791
2025-08-14,,,,ETH,639600000.0,-0.04309294389605611,0.6756377819464794
2025-08-19,,,,ETH,-429600000.0,-0.057162540048461,0.6860373454490972
2025-08-25,,,,ETH,443900000.0,-0.08912685014558974,0.9103725031091474
2025-08-26,,,,ETH,455000000.0,0.050507999340066334,0.918574802336766
2025-09-05,,,,ETH,-446800000.0,0.002200313341367277,0.8667613750638555
2025-09-12,,,,ETH,405500000.0,0.05532055184058393,0.7801685655628758
2025-09-29,,,,ETH,546900000.0,0.017683877383358748,0.4905615963826558
2025-10-07,,,,ETH,420900000.0,-0.05172324989647947,0.552975663820543
2025-10-13,,,,ETH,-428500000.0,0.02111737972232497,0.7955396863593527
2025-11-20,,,,ETH,-261600000.00000003,-0.06547255134426155,0.6961147577174067
2026-01-21,,,,ETH,-287000000.0,0.014619344212135843,0.4920351477795261
2026-01-30,,,,ETH,-252900000.0,-0.04268199667186856,0.6037511683602135
2026-02-25,,,,ETH,157200000.0,0.10508334178821865,1.0611946775609913
2026-03-04,,,,ETH,169400000.0,0.07056230453307233,1.0055409168002902
