asset,frequency,model_family,regime,purpose,target,feature_id,feature_label,block,n,n_full,n_reduced,same_support,sample_start,sample_end,feature_list,row_index_hash,correlation,univariate_r2,standardized_beta,hac_t,p_value,fdr_q_value,drop_feature_delta_r2
ETH,daily,long_sample_contemporaneous_exposure,pre_btc_etf,co_movement_integration,eth_ret,gold_ret,Gold return,macro_rates_fx_vol,797,797,797,True,2020-01-03,2024-01-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,97a52cd033d2f792,0.1532197975627051,0.023476306365156185,0.11384934409295115,3.0002403111109195,0.0026976667860757557,0.021581334288606046,0.010160234349084307
ETH,daily,long_sample_contemporaneous_exposure,pre_btc_etf,co_movement_integration,eth_ret,vix_d1,VIX change,macro_rates_fx_vol,797,797,797,True,2020-01-03,2024-01-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,97a52cd033d2f792,-0.4528675598466359,0.20508902676144647,-0.3270507811708501,-2.725980816773224,0.006411072428502962,0.022719217829795604,0.04496208844561511
ETH,daily,long_sample_contemporaneous_exposure,pre_btc_etf,co_movement_integration,eth_ret,real_yield_d1,Real-yield change,macro_rates_fx_vol,797,797,797,True,2020-01-03,2024-01-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,97a52cd033d2f792,-0.05142613676837711,0.0026446475429201532,0.10944247054800832,1.7722719142684968,0.07634943104400292,0.1017992413920039,0.0037141331872332373
ETH,daily,long_sample_contemporaneous_exposure,pre_btc_etf,co_movement_integration,eth_ret,nominal_10y_d1,10Y yield change,macro_rates_fx_vol,797,797,797,True,2020-01-03,2024-01-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,97a52cd033d2f792,-0.017974422866939507,0.00032307987739987887,-0.08718027538283911,-1.325875614950393,0.18488090137159074,0.21129245871038943,0.0024710961693067413
ETH,daily,long_sample_contemporaneous_exposure,btc_etf_era,co_movement_integration,eth_ret,qqq_ret,QQQ return,equity_beta,436,436,436,True,2024-01-11,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,837a7fbcc7cd4848,0.4582951774569916,0.21003446968033512,0.65676190229826,3.6140824065998887,0.00030141319116741707,0.0012056527646696683,0.029185239307264688
ETH,daily,long_sample_contemporaneous_exposure,btc_etf_era,co_movement_integration,eth_ret,spy_ret,SPY return,equity_beta,436,436,436,True,2024-01-11,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,837a7fbcc7cd4848,0.4480751805925324,0.20077136746303048,-0.6108862454024766,-2.733576225969616,0.006265061998379339,0.016706831995678236,0.014969962211720866
ETH,daily,long_sample_contemporaneous_exposure,btc_etf_era,co_movement_integration,eth_ret,iwm_ret,IWM return,equity_beta,436,436,436,True,2024-01-11,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,837a7fbcc7cd4848,0.48508032700328085,0.23530292364561,0.45372027338626153,5.732451861309871,9.898913427118068e-09,7.919130741694454e-08,0.059498137703319354
ETH,daily,long_sample_contemporaneous_exposure,btc_etf_era,co_movement_integration,eth_ret,dxy_ret,DXY return,macro_rates_fx_vol,436,436,436,True,2024-01-11,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,837a7fbcc7cd4848,-0.037428657413237656,0.001400904395757574,0.02132136157938827,0.4251601022197585,0.6707199667966506,0.6707199667966506,0.00042155122769982345
ETH,daily,long_sample_contemporaneous_exposure,btc_etf_era,co_movement_integration,eth_ret,gold_ret,Gold return,macro_rates_fx_vol,436,436,436,True,2024-01-11,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,837a7fbcc7cd4848,0.1249849906598377,0.015621247890239554,0.020907253443221835,0.5708504331517447,0.5681010328247862,0.6492583232283271,0.0003870036336777183
ETH,daily,long_sample_contemporaneous_exposure,btc_etf_era,co_movement_integration,eth_ret,vix_d1,VIX change,macro_rates_fx_vol,436,436,436,True,2024-01-11,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,837a7fbcc7cd4848,-0.3952391809197574,0.15621401013412073,-0.04001734208411276,-0.6800212988405854,0.4964909748810592,0.6492583232283271,0.0003910578431051137
