feature,block,correlation,abs_correlation
spy_ret,TradFi,0.4531,0.4531
qqq_ret,TradFi,0.448,0.448
VIXCLS_d1,Macro,-0.4019,0.4019
eth_etf_intensity,ETF Flow,0.2491,0.2491
DTWEXBGS_d1,Macro,-0.1428,0.1428
gld_ret,TradFi,0.1087,0.1087
defi_tvl_usd_ret,Liquidity,0.048,0.048
fng_value_d1,Sentiment,0.0438,0.0438
DGS10_d1,Macro,0.0271,0.0271
DGS2_d1,Macro,0.0204,0.0204
cme_eth_basis_close_d1,ETH Native,0.014,0.014
DFF_d1,Macro,-0.0103,0.0103
stables_total_usd_ret,Liquidity,-0.0046,0.0046
