date,btc_etf_cumulative_flow_usd,eth_etf_cumulative_flow_usd,btc_mcap_lag1,eth_mcap_lag1,btc_cum_flow_to_lag_mcap,eth_cum_flow_to_lag_mcap
2020-01-01,0.0,0.0,,,,
2020-01-02,0.0,0.0,130490056323.49442,14248049463.324642,0.0,0.0
2020-01-03,0.0,0.0,126233809917.3982,13871723578.14951,0.0,0.0
2020-01-04,0.0,0.0,133070026481.7064,14645885601.755478,0.0,0.0
2020-01-05,0.0,0.0,133286762630.41476,14630982904.501902,0.0,0.0
2020-01-06,0.0,0.0,133449927785.58704,14776946034.184795,0.0,0.0
2020-01-07,0.0,0.0,140801757241.92368,15742757378.938469,0.0,0.0
2020-01-08,0.0,0.0,147971497781.05283,15604187905.24706,0.0,0.0
2020-01-09,0.0,0.0,146139470108.88873,15365637170.094078,0.0,0.0
2020-01-10,0.0,0.0,141913435839.08313,15043185493.295303,0.0,0.0
2020-01-11,0.0,0.0,148768421808.21033,15818153401.323595,0.0,0.0
2020-01-12,0.0,0.0,145573314665.95047,15547195514.282393,0.0,0.0
2020-01-13,0.0,0.0,148508827296.1743,16000939620.083504,0.0,0.0
2020-01-14,0.0,0.0,147195794090.3324,15679229282.29425,0.0,0.0
2020-01-15,0.0,0.0,159592201791.60117,18045576854.77729,0.0,0.0
2020-01-16,0.0,0.0,159974478942.83173,18158567271.30001,0.0,0.0
2020-01-17,0.0,0.0,158296863908.2982,17930544611.004047,0.0,0.0
2020-01-18,0.0,0.0,161655464023.12476,18545554409.990143,0.0,0.0
2020-01-19,0.0,0.0,161933277530.39206,19036571494.06301,0.0,0.0
2020-01-20,0.0,0.0,158074742060.71225,18229036088.08485,0.0,0.0
2020-01-21,0.0,0.0,156836146306.67502,18221485459.809013,0.0,0.0
2020-01-22,0.0,0.0,158745616439.29514,18524729724.35947,0.0,0.0
2020-01-23,0.0,0.0,157427652947.57825,18341355280.204823,0.0,0.0
2020-01-24,0.0,0.0,152333665482.40192,17762157538.67673,0.0,0.0
2020-01-25,0.0,0.0,153284852074.96783,17766742489.254242,0.0,0.0
2020-01-26,0.0,0.0,151484808212.8627,17529104819.773323,0.0,0.0
2020-01-27,0.0,0.0,156460190536.91156,18367330096.82473,0.0,0.0
2020-01-28,0.0,0.0,161720840631.6737,18571745296.07468,0.0,0.0
2020-01-29,0.0,0.0,170671585369.8609,19239590675.26195,0.0,0.0
2020-01-30,0.0,0.0,168829632460.03247,18979219064.48305,0.0,0.0
2020-01-31,0.0,0.0,172872262456.40045,20203648689.85463,0.0,0.0
2020-02-01,0.0,0.0,169960062973.9838,19689607187.501263,0.0,0.0
2020-02-02,0.0,0.0,170740235414.11737,20111555190.406982,0.0,0.0
2020-02-03,0.0,0.0,170039272969.19064,20673162553.437653,0.0,0.0
2020-02-04,0.0,0.0,168899521012.9656,20756138273.38159,0.0,0.0
2020-02-05,0.0,0.0,166866103687.96338,20632697561.54277,0.0,0.0
2020-02-06,0.0,0.0,174974597340.79785,22334196450.896503,0.0,0.0
