asset,feature_id,window_days,beta_count,beta_median,beta_mean,beta_std,correlation_median,sample_count_median
BTC,dxy_ret,180,151,-0.20165908138796979,-0.25345704185367146,0.9242420290002815,-0.018441681673166167,180.0
BTC,dxy_ret,365,138,-0.2037147876135938,-0.29517273492984236,0.7039063354847912,-0.019145275546733443,365.0
BTC,gold_ret,180,151,0.26732656300756596,0.368137428674572,0.516626436835665,0.08104708646626071,180.0
BTC,gold_ret,365,138,0.25468118016936125,0.35916122088566554,0.3502137126027328,0.08463778349883323,365.0
BTC,iwm_ret,180,11,0.8030614827609076,0.756937720901447,0.2334975029027357,0.24527054814846969,100.0
BTC,iwm_ret,365,1,1.0251781336675514,1.0251781336675514,,0.3368355288228948,201.0
BTC,nominal_10y_d1,180,151,0.0006655134194322871,0.01132517119210638,0.07116384078079772,0.00167940118129999,180.0
BTC,nominal_10y_d1,365,138,0.0069007763589211246,0.006204825351513079,0.04552279988979258,0.008796389662932398,365.0
BTC,qqq_ret,180,151,0.9608195114240862,0.8915304093070425,0.3606874645807266,0.36029510079855687,180.0
BTC,qqq_ret,365,138,0.8902024120615815,0.8599097686402712,0.24832005351638298,0.35628929790230823,365.0
BTC,real_yield_d1,180,151,-0.05313958687566268,-0.04175940479587003,0.06731063703594253,-0.06973944925203313,180.0
BTC,real_yield_d1,365,138,-0.035619748139932496,-0.03705686117065312,0.04281680399993276,-0.05928820942526683,365.0
BTC,spy_ret,180,151,1.2898437555360236,1.1934215224717424,0.49208051558110183,0.3526554097055953,180.0
BTC,spy_ret,365,138,1.14408209426787,1.1393614376963583,0.34884861159305475,0.35211663827379613,365.0
BTC,vix_d1,180,151,-0.006622828541107955,-0.006899842289498135,0.0026455272244274145,-0.33864979947741064,180.0
BTC,vix_d1,365,138,-0.0066233270442172185,-0.0066404151735584725,0.002077777062420144,-0.3186182317897277,365.0
ETH,dxy_ret,180,151,-0.2579508594938809,-0.38339140235010694,1.161613994592763,-0.01969749007478997,180.0
ETH,dxy_ret,365,138,-0.26267708582370086,-0.49862902390900193,0.7955440652899914,-0.022735902275216522,365.0
ETH,gold_ret,180,151,0.44504623210756583,0.51776789435024,0.557957607179373,0.09601042967419182,180.0
ETH,gold_ret,365,138,0.4763839987430485,0.5026889452475242,0.3691924753664886,0.08830225708096014,365.0
ETH,iwm_ret,180,11,1.1105449397177416,1.030833722577424,0.35118257501689937,0.25594064855364007,100.0
ETH,iwm_ret,365,1,1.4366897193159838,1.4366897193159838,,0.3562094098028244,201.0
ETH,nominal_10y_d1,180,151,-0.0004009985115676923,-0.0016461513492038488,0.09568062781422847,-0.00035723183814262644,180.0
ETH,nominal_10y_d1,365,138,-0.010400512257650492,-0.007079073851581084,0.055466768360330064,-0.012382821791457058,365.0
ETH,qqq_ret,180,151,1.24114502426016,1.2305547923973488,0.5699057921028652,0.38700819070784603,180.0
ETH,qqq_ret,365,138,1.2558215156408503,1.1474564663706435,0.3409008312648532,0.3760400690646274,365.0
ETH,real_yield_d1,180,151,-0.0553997036237719,-0.07498552908466949,0.10574400369160301,-0.0628762890772623,180.0
ETH,real_yield_d1,365,138,-0.052509519363296134,-0.0685447183535125,0.06656637882981097,-0.05864370507997628,365.0
ETH,spy_ret,180,151,1.6406696837335202,1.6303951878553347,0.7216346094527146,0.379029693253387,180.0
ETH,spy_ret,365,138,1.5350040946367614,1.5160810916461103,0.4199991648893415,0.3864350768697532,365.0
ETH,vix_d1,180,151,-0.008809344054157836,-0.009355254007009164,0.0037369682477615468,-0.3438643993381038,180.0
ETH,vix_d1,365,138,-0.008343802387195665,-0.008790252455379071,0.002545548199292015,-0.3261789123339077,365.0
