metric,pre_btc_etf_mean,btc_etf_era_mean,delta,snapshots_pre,snapshots_post
btc_eth_share_full_top100,0.6726599443095852,0.6953583907077772,0.022698446398191963,48,30
top10_share_full_top100,0.8567928308836574,0.8865841623387613,0.02979133145510382,48,30
stable_like_share_full_top100,0.08408663788576186,0.08508928154809012,0.0010026436623282592,48,30
productized_share_full_top100,0.01032431345594655,0.029250637228742073,0.018926323772795524,48,30
clean_risk_share_full_top100,0.9055890486582916,0.8856600812231679,-0.019928967435123734,48,30
