asset,frequency,model_family,regime,purpose,target,feature_id,feature_label,block,n,n_full,n_reduced,same_support,sample_start,sample_end,feature_list,row_index_hash,correlation,univariate_r2,standardized_beta,hac_t,p_value,fdr_q_value,drop_feature_delta_r2
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,co_movement_integration,btc_ret,gold_ret,Gold return,macro_rates_fx_vol,797,797,797,True,2020-01-03,2024-01-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,97a52cd033d2f792,0.15357719659653205,0.023585955314449958,0.1176466255398961,2.5670638055441977,0.010256373800157934,0.02400434868993931,0.010849297270480673
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,co_movement_integration,btc_ret,vix_d1,VIX change,macro_rates_fx_vol,797,797,797,True,2020-01-03,2024-01-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,97a52cd033d2f792,-0.4636319534900492,0.2149545882969991,-0.3328925998913362,-2.5923324020301477,0.009532761620646148,0.02400434868993931,0.04658266983627901
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,co_movement_integration,btc_ret,real_yield_d1,Real-yield change,macro_rates_fx_vol,797,797,797,True,2020-01-03,2024-01-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,97a52cd033d2f792,-0.043395105538414316,0.0018831351846902988,0.12376708555599451,2.018928699489899,0.04349463078963016,0.057992841052840215,0.004750026424293008
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,co_movement_integration,btc_ret,nominal_10y_d1,10Y yield change,macro_rates_fx_vol,797,797,797,True,2020-01-03,2024-01-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,97a52cd033d2f792,-0.012095225718168559,0.00014629448517367027,-0.08957716435347932,-1.4035422636436587,0.160455198234287,0.18337736941061372,0.002608842105080833
BTC,daily,long_sample_contemporaneous_exposure,btc_etf_era,co_movement_integration,btc_ret,qqq_ret,QQQ return,equity_beta,436,436,436,True,2024-01-11,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,837a7fbcc7cd4848,0.40343272247846107,0.162757961566383,0.5383103554036486,2.902490587274481,0.0037020828496816217,0.014808331398726487,0.019607075591630885
BTC,daily,long_sample_contemporaneous_exposure,btc_etf_era,co_movement_integration,btc_ret,spy_ret,SPY return,equity_beta,436,436,436,True,2024-01-11,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,837a7fbcc7cd4848,0.4000641147662962,0.16005129592374023,-0.5958322956444025,-2.697927070587494,0.006977272429119721,0.018606059810985922,0.014241249310358972
BTC,daily,long_sample_contemporaneous_exposure,btc_etf_era,co_movement_integration,btc_ret,iwm_ret,IWM return,equity_beta,436,436,436,True,2024-01-11,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,837a7fbcc7cd4848,0.45468383579335847,0.206737390531762,0.4661173151771385,6.479586818549557,9.197413276900675e-11,7.35793062152054e-10,0.06279390257384077
BTC,daily,long_sample_contemporaneous_exposure,btc_etf_era,co_movement_integration,btc_ret,dxy_ret,DXY return,macro_rates_fx_vol,436,436,436,True,2024-01-11,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,837a7fbcc7cd4848,-0.0017698053187182893,3.1322108663411896e-06,0.058789478176010844,1.2868829120816214,0.19813510211574703,0.25060093220846913,0.003204938488810316
BTC,daily,long_sample_contemporaneous_exposure,btc_etf_era,co_movement_integration,btc_ret,gold_ret,Gold return,macro_rates_fx_vol,436,436,436,True,2024-01-11,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,837a7fbcc7cd4848,0.13255485554347046,0.017570789728150404,0.05086050734717102,1.228456056712098,0.2192758156824105,0.25060093220846913,0.002290247675716728
BTC,daily,long_sample_contemporaneous_exposure,btc_etf_era,co_movement_integration,btc_ret,vix_d1,VIX change,macro_rates_fx_vol,436,436,436,True,2024-01-11,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,837a7fbcc7cd4848,-0.3729836793889056,0.13911682509048606,-0.09865700653279254,-1.5145552916484324,0.12988506155268909,0.23755622024538048,0.002376842414150926
BTC,daily,long_sample_contemporaneous_exposure,btc_etf_era,co_movement_integration,btc_ret,real_yield_d1,Real-yield change,macro_rates_fx_vol,436,436,436,True,2024-01-11,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,837a7fbcc7cd4848,-0.0005592083535802736,3.127139828196235e-07,-0.0728028166511175,-0.7340954620487743,0.4628905590881264,0.4628905590881264,0.0009332139752262769
BTC,daily,long_sample_contemporaneous_exposure,btc_etf_era,co_movement_integration,btc_ret,nominal_10y_d1,10Y yield change,macro_rates_fx_vol,436,436,436,True,2024-01-11,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,837a7fbcc7cd4848,0.08332315354535133,0.00694274791674232,0.15618384997826365,1.4449474825414168,0.1484726376533628,0.23755622024538048,0.004330538181865462
