asset,regime,n,r2,feature_count,method_note
BTC,btc_etf_era,436,0.24722655853062325,8,"Contemporaneous TradFi exposure model, descriptive regime split."
BTC,full_common_sample,1233,0.2373892349830511,8,"Contemporaneous TradFi exposure model, descriptive regime split."
BTC,pre_btc_etf,797,0.25888266154910544,8,"Contemporaneous TradFi exposure model, descriptive regime split."
ETH,btc_etf_era,436,0.2821757694199051,8,"Contemporaneous TradFi exposure model, descriptive regime split."
ETH,full_common_sample,1233,0.23374660887951493,8,"Contemporaneous TradFi exposure model, descriptive regime split."
ETH,pre_btc_etf,797,0.24267988905415183,8,"Contemporaneous TradFi exposure model, descriptive regime split."
