date,asset,window_days,feature_id,feature_label,beta,n
2024-08-19,BTC,180,real_yield_d1,Real-yield change,-0.05673110525419762,179
2024-08-19,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,0.10318370446905645,179
2024-08-19,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.12346055741618592,179
2024-08-19,BTC,180,btc_oi_growth,BTC OI growth,-0.16187545247069016,179
2024-09-02,BTC,180,qqq_ret,QQQ return,-0.1311552447541021,179
2024-09-02,BTC,180,spy_ret,SPY return,0.14598294269692,179
2024-09-02,BTC,180,vix_d1,VIX change,0.06467171860895223,179
2024-09-02,BTC,180,dxy_ret,DXY return,-0.10794297674581799,179
2024-09-02,BTC,180,real_yield_d1,Real-yield change,-0.03753202393694675,179
2024-09-02,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,0.04213667528649064,179
2024-09-02,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.12347598066156654,179
2024-09-02,BTC,180,btc_oi_growth,BTC OI growth,-0.10597519201166895,179
2024-09-16,BTC,180,qqq_ret,QQQ return,-0.15427259445490205,179
2024-09-16,BTC,180,spy_ret,SPY return,0.1534768038861864,179
2024-09-16,BTC,180,vix_d1,VIX change,0.07487124895161713,179
2024-09-16,BTC,180,dxy_ret,DXY return,-0.055937642785136896,179
2024-09-16,BTC,180,real_yield_d1,Real-yield change,0.018733270294941845,179
2024-09-16,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,0.08994185508794171,179
2024-09-16,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.08141904273229594,179
2024-09-16,BTC,180,btc_oi_growth,BTC OI growth,-0.10567037772483674,179
2024-09-30,BTC,180,qqq_ret,QQQ return,-0.1622385087113586,179
2024-09-30,BTC,180,spy_ret,SPY return,0.19807489164383724,179
2024-09-30,BTC,180,vix_d1,VIX change,0.11060785612804806,179
2024-09-30,BTC,180,dxy_ret,DXY return,-0.05324707144388214,179
2024-09-30,BTC,180,real_yield_d1,Real-yield change,0.07065636546360383,179
2024-09-30,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,0.09233148968265598,179
2024-09-30,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.06894512438019039,179
