model_id,regime,target,n,r2,adj_r2,delta_r2_vs_prev,variables,note
M0_intercept,full,eth_ret,1559,0.0,0.0,,,same_support
M1_macro,full,eth_ret,1559,0.136772,0.133992,0.136772,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1,same_support
M2_macro_tradfi,full,eth_ret,1559,0.169814,0.165529,0.033042,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret,same_support
M3_macro_tradfi_liquidity,full,eth_ret,1559,0.173532,0.168193,0.003718,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret;defi_tvl_usd_ret;stables_total_usd_ret,same_support
M4_plus_sentiment,full,eth_ret,1559,0.177709,0.171862,0.004178,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret;defi_tvl_usd_ret;stables_total_usd_ret;fng_value_d1,same_support
M5_plus_eth_native,full,eth_ret,1559,0.178544,0.172168,0.000835,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret;defi_tvl_usd_ret;stables_total_usd_ret;fng_value_d1;cme_eth_basis_close_d1,same_support
