asset_key,token_id,coingecko_id,symbol,asset_name,taxonomy_class
coingecko:bitcoin,bitcoin,coingecko:bitcoin,BTC,Bitcoin,BTC
coingecko:ethereum,ethereum,coingecko:ethereum,ETH,Ethereum,ETH
coingecko:tether,tether,coingecko:tether,USDT,Tether,stable-like assets
coingecko:binancecoin,binancecoin,coingecko:binancecoin,BNB,BNB,selected majors ex BTC/ETH
coingecko:ripple,ripple,coingecko:ripple,XRP,XRP,selected majors ex BTC/ETH
coingecko:usd-coin,usd-coin,coingecko:usd-coin,USDC,USDC,stable-like assets
coingecko:solana,solana,coingecko:solana,SOL,Solana,selected majors ex BTC/ETH
coingecko:tron,tron,coingecko:tron,TRX,TRON,selected majors ex BTC/ETH
coingecko:figure-heloc,figure-heloc,coingecko:figure-heloc,FIGR_HELOC,Figure Heloc,other risk assets
coingecko:staked-ether,staked-ether,coingecko:staked-ether,STETH,Lido Staked Ether,productized/wrapped assets
coingecko:hyperliquid,hyperliquid,coingecko:hyperliquid,HYPE,Hyperliquid,selected majors ex BTC/ETH
coingecko:dogecoin,dogecoin,coingecko:dogecoin,DOGE,Dogecoin,selected majors ex BTC/ETH
coingecko:usds,usds,coingecko:usds,USDS,USDS,stable-like assets
coingecko:binance-bridged-usdt-bnb-smart-chain,binance-bridged-usdt-bnb-smart-chain,coingecko:binance-bridged-usdt-bnb-smart-chain,BSC-USD,Binance Bridged USDT (BNB Smart Chain),other risk assets
coingecko:leo-token,leo-token,coingecko:leo-token,LEO,LEO Token,other risk assets
coingecko:zcash,zcash,coingecko:zcash,ZEC,Zcash,other risk assets
coingecko:rain,rain,coingecko:rain,RAIN,Rain,other risk assets
coingecko:wrapped-steth,wrapped-steth,coingecko:wrapped-steth,WSTETH,Wrapped stETH,productized/wrapped assets
coingecko:wrapped-bitcoin,wrapped-bitcoin,coingecko:wrapped-bitcoin,WBTC,Wrapped Bitcoin,productized/wrapped assets
coingecko:stellar,stellar,coingecko:stellar,XLM,Stellar,other risk assets
coingecko:cardano,cardano,coingecko:cardano,ADA,Cardano,selected majors ex BTC/ETH
coingecko:wrapped-beacon-eth,wrapped-beacon-eth,coingecko:wrapped-beacon-eth,WBETH,Wrapped Beacon ETH,productized/wrapped assets
coingecko:monero,monero,coingecko:monero,XMR,Monero,other risk assets
coingecko:whitebit,whitebit,coingecko:whitebit,WBT,WhiteBIT Coin,other risk assets
coingecko:canton-network,canton-network,coingecko:canton-network,CC,Canton,other risk assets
