leverage_state,n,realized_vol_30d_median,abs_return_next_day_mean,bottom5_rate,liquidation_intensity_median,funding_z_median
Q1 low,453,0.6273035306788437,0.026204704190894774,0.0772626931567329,1.6936230885016956e-09,-0.38780710351049547
Q2,452,0.48399941536277435,0.022540515890723572,0.028761061946902654,1.882047314240228e-09,-0.028174799291990824
Q3,453,0.48208620496030197,0.018868018747285577,0.033112582781456956,8.795814160131151e-10,-0.06860071531220227
Q4,452,0.4482300965091517,0.018029046672094602,0.03982300884955752,1.2089634420178367e-09,0.024069166997882772
Q5 high,453,0.5797394702473125,0.022644405597905544,0.07505518763796909,1.8513438067341798e-09,0.16830187306483485
