date,window,step,horizon,connectedness_pct,lag_order,n,error
2020-09-10,252,30,10,35.231856745965665,1,252,
2020-10-10,252,30,10,34.9996730341973,1,252,
2020-11-09,252,30,10,33.650484387533076,1,252,
2020-12-09,252,30,10,31.842947300994062,1,252,
2021-01-08,252,30,10,29.326905136824376,1,252,
2021-02-07,252,30,10,29.886026957203036,1,252,
2021-03-09,252,30,10,30.369414442256026,1,252,
2021-04-08,252,30,10,30.388328434644084,1,252,
2021-05-08,252,30,10,29.647319224011536,1,252,
2021-06-07,252,30,10,33.33539284580647,1,252,
2021-07-07,252,30,10,33.07561509264752,1,252,
2021-08-06,252,30,10,34.629351255311214,1,252,
2021-09-05,252,30,10,36.13232759511688,1,252,
2021-10-05,252,30,10,37.49538656555188,1,252,
2021-11-04,252,30,10,36.88296347269904,1,252,
2021-12-04,252,30,10,37.12212686905377,1,252,
2022-01-03,252,30,10,39.00623253925695,1,252,
2022-02-02,252,30,10,39.08555657804691,1,252,
2022-03-04,252,30,10,41.0155074790163,1,252,
2022-04-03,252,30,10,41.393253903773385,1,252,
2022-05-03,252,30,10,43.775154894242796,1,252,
2022-06-02,252,30,10,43.458364873349794,1,252,
2022-07-02,252,30,10,44.80559498058641,1,252,
2022-08-01,252,30,10,44.814702194374675,1,252,
2022-08-31,252,30,10,45.567093229309094,1,252,
2022-09-30,252,30,10,44.07358563551627,1,252,
2022-10-30,252,30,10,42.78496169354277,1,252,
2022-11-29,252,30,10,43.16589855378533,1,252,
2022-12-29,252,30,10,41.78656074464031,1,252,
2023-01-28,252,30,10,38.51212277942936,1,252,
2023-02-27,252,30,10,38.37035639106667,1,252,
2023-03-29,252,30,10,37.85331764551636,1,252,
2023-04-28,252,30,10,36.14621042386248,1,252,
2023-05-28,252,30,10,34.908538394121656,1,252,
2023-06-27,252,30,10,33.57737003334697,1,252,
2023-07-27,252,30,10,32.36056115099228,1,252,
2023-08-26,252,30,10,33.85607578528352,1,252,
2023-09-25,252,30,10,34.67794091694137,1,252,
2023-10-25,252,30,10,34.71022591642594,1,252,
2023-11-24,252,30,10,31.88750311773727,1,252,
2023-12-24,252,30,10,31.234757028736514,1,252,
2024-01-23,252,30,10,29.252088776398956,1,252,
2024-02-22,252,30,10,28.910008037812517,1,252,
2024-03-23,252,30,10,30.001256371425356,1,252,
2024-04-22,252,30,10,31.069762511028255,1,252,
2024-05-22,252,30,10,30.735080449193486,1,252,
2024-06-21,252,30,10,29.304673895429723,1,252,
2024-07-21,252,30,10,29.76169178917142,1,252,
2024-08-20,252,30,10,33.586062363690495,1,252,
2024-09-19,252,30,10,35.966444610323,1,252,
2024-10-19,252,30,10,36.75941236032993,1,252,
2024-11-18,252,30,10,39.35785023392165,1,252,
2024-12-18,252,30,10,39.62422901338579,1,252,
2025-01-17,252,30,10,39.157805227881305,1,252,
2025-02-16,252,30,10,38.46198448109529,1,252,
2025-03-18,252,30,10,40.43931977712643,1,252,
2025-04-17,252,30,10,40.85244049618072,1,252,
2025-05-17,252,30,10,41.00383318084312,1,252,
2025-06-16,252,30,10,40.633512929094174,1,252,
2025-07-16,252,30,10,38.56903351975131,1,252,
2025-08-15,252,30,10,40.10403850308278,1,252,
2025-09-14,252,30,10,40.5093984496944,1,252,
2025-10-14,252,30,10,42.090306967815636,1,252,
2025-11-13,252,30,10,41.719855351722245,1,252,
2025-12-13,252,30,10,40.6077148739225,1,252,
2026-01-12,252,30,10,37.72247753630717,1,252,
2026-02-11,252,30,10,41.828340309572695,1,252,
2026-03-13,252,30,10,42.66697493552366,1,252,
