date,asset,window_days,feature_id,feature_label,beta,correlation,sample_count,n,timing
2020-09-21,BTC,180,real_yield_d1,Real-yield change,-0.1065364004061307,-0.1068307953913783,180,180,contemporaneous
2020-09-21,BTC,180,nominal_10y_d1,10Y yield change,0.10483478330713368,0.10888162417993072,180,180,contemporaneous
2020-10-05,BTC,180,qqq_ret,QQQ return,0.7144909202792219,0.3331957419618504,180,180,contemporaneous
2020-10-05,BTC,180,spy_ret,SPY return,0.8147977250677741,0.32204271256617445,180,180,contemporaneous
2020-10-05,BTC,180,dxy_ret,DXY return,-1.8916426431497302,-0.19886032373041898,180,180,contemporaneous
2020-10-05,BTC,180,gold_ret,Gold return,1.183902862124425,0.37382659567473925,180,180,contemporaneous
2020-10-05,BTC,180,vix_d1,VIX change,-0.005406812201343254,-0.3519812243694774,180,180,contemporaneous
2020-10-05,BTC,180,real_yield_d1,Real-yield change,-0.07725697624685147,-0.0722086983511632,180,180,contemporaneous
2020-10-05,BTC,180,nominal_10y_d1,10Y yield change,0.10143187181986656,0.10204944069668119,180,180,contemporaneous
2020-10-19,BTC,180,qqq_ret,QQQ return,0.7179257087162794,0.3373455185807372,180,180,contemporaneous
2020-10-19,BTC,180,spy_ret,SPY return,0.8796790183359566,0.33551109345270075,180,180,contemporaneous
2020-10-19,BTC,180,iwm_ret,IWM return,0.4600243553151113,0.28502294134367573,100,100,contemporaneous
2020-10-19,BTC,180,dxy_ret,DXY return,-1.5882499387951132,-0.17135255896558974,180,180,contemporaneous
2020-10-19,BTC,180,gold_ret,Gold return,1.33551140953744,0.4275792812959168,180,180,contemporaneous
2020-10-19,BTC,180,vix_d1,VIX change,-0.005365047780379415,-0.34558815874385246,180,180,contemporaneous
2020-10-19,BTC,180,real_yield_d1,Real-yield change,-0.18833638257345536,-0.15776092621192916,180,180,contemporaneous
2020-10-19,BTC,180,nominal_10y_d1,10Y yield change,0.08397115912442532,0.08466258694486663,180,180,contemporaneous
2020-11-02,BTC,180,qqq_ret,QQQ return,0.6081640743713818,0.29708665662435524,180,180,contemporaneous
2020-11-02,BTC,180,spy_ret,SPY return,0.7336886496525529,0.29120413502626813,180,180,contemporaneous
2020-11-02,BTC,180,iwm_ret,IWM return,0.31329308250762494,0.19523567938021563,100,100,contemporaneous
2020-11-02,BTC,180,dxy_ret,DXY return,-1.0655592073140374,-0.12165409156043552,180,180,contemporaneous
2020-11-02,BTC,180,gold_ret,Gold return,1.2892329098524,0.4243034581725513,180,180,contemporaneous
2020-11-02,BTC,180,vix_d1,VIX change,-0.0048538386340034765,-0.32857031090572053,180,180,contemporaneous
2020-11-02,BTC,180,real_yield_d1,Real-yield change,-0.17071521901271866,-0.14333915839432043,180,180,contemporaneous
2020-11-02,BTC,180,nominal_10y_d1,10Y yield change,0.08064478594332215,0.08469031195367131,180,180,contemporaneous
2020-11-16,BTC,180,qqq_ret,QQQ return,0.6870046921858285,0.36276781262173685,180,180,contemporaneous
2020-11-16,BTC,180,spy_ret,SPY return,0.8829372526579404,0.35843684756032096,180,180,contemporaneous
