metric,date,value
cex_net_inflows_usd,2022-11-30,4048010780.0
cex_net_inflows_usd,2022-12-31,-11999783743.0
cex_net_inflows_usd,2023-01-31,14254841473.0
cex_net_inflows_usd,2023-02-28,935822344.0
cex_net_inflows_usd,2023-03-31,6042631570.0
cex_net_inflows_usd,2023-04-30,3760039840.0
cex_net_inflows_usd,2023-05-31,-4698700164.0
cex_net_inflows_usd,2023-06-30,-5348291676.0
cex_net_inflows_usd,2023-07-31,4438120765.0
cex_net_inflows_usd,2023-08-31,-5151836963.0
cex_net_inflows_usd,2023-09-30,-2748597278.0
cex_net_inflows_usd,2023-10-31,12414484821.0
cex_net_inflows_usd,2023-11-30,8275393200.0
cex_net_inflows_usd,2023-12-31,21442910967.0
cex_net_inflows_usd,2024-01-31,75820330.0
cex_net_inflows_usd,2024-02-29,42762448345.0
cex_net_inflows_usd,2024-03-31,40475212845.0
cex_net_inflows_usd,2024-04-30,-11615687408.0
cex_net_inflows_usd,2024-05-31,2264853894.0
cex_net_inflows_usd,2024-06-30,-24200980951.0
cex_net_inflows_usd,2024-07-31,16408312472.0
cex_net_inflows_usd,2024-08-31,-18902876931.0
cex_net_inflows_usd,2024-09-30,14844972414.0
cex_net_inflows_usd,2024-10-31,6624987585.0
cex_net_inflows_usd,2024-11-30,81111826486.0
cex_net_inflows_usd,2024-12-31,-10656773554.0
cex_net_inflows_usd,2025-01-31,16586356262.0
cex_net_inflows_usd,2025-02-28,-54250566640.0
cex_net_inflows_usd,2025-03-31,-5191551876.0
cex_net_inflows_usd,2025-04-30,20424328482.0
cex_net_inflows_usd,2025-05-31,16752964373.0
cex_net_inflows_usd,2025-06-30,4021801241.0
cex_net_inflows_usd,2025-07-31,50876864474.0
cex_net_inflows_usd,2025-08-31,1231800132.0
cex_net_inflows_usd,2025-09-30,19383463819.0
cex_net_inflows_usd,2025-10-31,-19643552799.0
cex_net_inflows_usd,2025-11-30,-38715592553.0
cex_net_inflows_usd,2025-12-31,-10104400155.0
cex_net_inflows_usd,2026-01-31,-3830308260.0
cex_net_inflows_usd,2026-02-28,-46042815234.0
cex_net_inflows_usd,2026-03-31,-7112122992.0
cex_net_inflows_usd,2026-04-30,21395434788.0
dex_volume_usd,2016-04-30,13729.0
dex_volume_usd,2016-05-31,36147.0
dex_volume_usd,2016-06-30,34933.0
dex_volume_usd,2016-07-31,33413.0
dex_volume_usd,2016-08-31,148569.0
dex_volume_usd,2016-09-30,73016.0
dex_volume_usd,2016-10-31,82834.0
dex_volume_usd,2016-11-30,133330.0
dex_volume_usd,2016-12-31,149777.0
dex_volume_usd,2017-01-31,222037.0
dex_volume_usd,2017-02-28,143018.0
dex_volume_usd,2017-03-31,196337.0
dex_volume_usd,2017-04-30,239742.0
dex_volume_usd,2017-05-31,411739.0
dex_volume_usd,2017-06-30,670983.0
dex_volume_usd,2017-07-31,212501.0
dex_volume_usd,2017-08-31,533975.0
dex_volume_usd,2017-09-30,437371.0
dex_volume_usd,2017-10-31,398231.0
dex_volume_usd,2017-11-30,534841.0
dex_volume_usd,2017-12-31,3130556.0
dex_volume_usd,2018-01-31,1284523.0
dex_volume_usd,2018-02-28,634854.0
dex_volume_usd,2018-03-31,524509.0
dex_volume_usd,2018-04-30,536983.0
dex_volume_usd,2018-05-31,560376.0
dex_volume_usd,2018-06-30,672268.0
dex_volume_usd,2018-07-31,502509.0
dex_volume_usd,2018-08-31,2404181.0
dex_volume_usd,2018-09-30,2101766.0
dex_volume_usd,2018-10-31,7212341.0
dex_volume_usd,2018-11-30,6899765.0
dex_volume_usd,2018-12-31,6586059.0
dex_volume_usd,2019-01-31,4408402.0
dex_volume_usd,2019-02-28,15298275.0
dex_volume_usd,2019-03-31,18365597.0
dex_volume_usd,2019-04-30,42586042.0
