asset,frequency,model_family,regime,feature_id,n,row_index_hash,vif,condition_number,max_abs_pairwise_corr,correlation_cluster
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,qqq_ret,1233,e67342d46aa84be9,9.20744088898147,9.213441293338851,0.9388227470470767,high_corr
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,spy_ret,1233,e67342d46aa84be9,15.7820760506553,9.213441293338851,0.9388227470470767,high_corr
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,iwm_ret,1233,e67342d46aa84be9,4.189403065693893,9.213441293338851,0.8599471814662455,high_corr
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,dxy_ret,1233,e67342d46aa84be9,1.0964737775655653,9.213441293338851,0.21610101754188182,not_high_corr
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,gold_ret,1233,e67342d46aa84be9,1.1742347237011417,9.213441293338851,0.34078701555532165,not_high_corr
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,vix_d1,1233,e67342d46aa84be9,2.5978501364810276,9.213441293338851,0.7797977925171071,high_corr
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,real_yield_d1,1233,e67342d46aa84be9,3.355509131082524,9.213441293338851,0.8214508990084982,high_corr
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,nominal_10y_d1,1233,e67342d46aa84be9,3.3055642945589745,9.213441293338851,0.8214508990084982,high_corr
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,qqq_ret,797,97a52cd033d2f792,8.436658221861752,8.931471787043165,0.932247591978583,high_corr
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,spy_ret,797,97a52cd033d2f792,15.033362733402553,8.931471787043165,0.932247591978583,high_corr
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,iwm_ret,797,97a52cd033d2f792,4.622735739709007,8.931471787043165,0.8742788887784209,high_corr
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,dxy_ret,797,97a52cd033d2f792,1.139096177821578,8.931471787043165,0.25005565792063084,not_high_corr
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,gold_ret,797,97a52cd033d2f792,1.2757258056319625,8.931471787043165,0.4363667461801061,not_high_corr
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,vix_d1,797,97a52cd033d2f792,2.378942285873615,8.931471787043165,0.753977033691056,high_corr
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,real_yield_d1,797,97a52cd033d2f792,3.2248855266746883,8.931471787043165,0.8042476843270038,high_corr
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,nominal_10y_d1,797,97a52cd033d2f792,3.0757202047543277,8.931471787043165,0.8042476843270038,high_corr
BTC,daily,long_sample_contemporaneous_exposure,btc_etf_era,qqq_ret,436,837a7fbcc7cd4848,14.77925850698996,11.766758964749446,0.9601679268051173,high_corr
BTC,daily,long_sample_contemporaneous_exposure,btc_etf_era,spy_ret,436,837a7fbcc7cd4848,24.92872056348653,11.766758964749446,0.9601679268051173,high_corr
BTC,daily,long_sample_contemporaneous_exposure,btc_etf_era,iwm_ret,436,837a7fbcc7cd4848,3.4599752938186343,11.766758964749446,0.8172555656716339,high_corr
BTC,daily,long_sample_contemporaneous_exposure,btc_etf_era,dxy_ret,436,837a7fbcc7cd4848,1.0783990882429342,11.766758964749446,0.1659564082956069,not_high_corr
BTC,daily,long_sample_contemporaneous_exposure,btc_etf_era,gold_ret,436,837a7fbcc7cd4848,1.1294809880343004,11.766758964749446,0.23282968427660192,not_high_corr
BTC,daily,long_sample_contemporaneous_exposure,btc_etf_era,vix_d1,436,837a7fbcc7cd4848,4.095014831468918,11.766758964749446,0.862651896404474,high_corr
BTC,daily,long_sample_contemporaneous_exposure,btc_etf_era,real_yield_d1,436,837a7fbcc7cd4848,5.679565729876834,11.766758964749446,0.8931401397571165,high_corr
BTC,daily,long_sample_contemporaneous_exposure,btc_etf_era,nominal_10y_d1,436,837a7fbcc7cd4848,5.632878402084627,11.766758964749446,0.8931401397571165,high_corr
BTC,daily,long_sample_lagged_state_association,full_common_sample,stablecoin_supply_growth_lag1,2263,1167a8613df8d6f0,1.0268067979185156,2.001034116625445,0.12308300313966768,not_high_corr
BTC,daily,long_sample_lagged_state_association,full_common_sample,defi_tvl_growth_lag1,2263,1167a8613df8d6f0,1.4180721220391233,2.001034116625445,0.4566503620436478,not_high_corr
BTC,daily,long_sample_lagged_state_association,full_common_sample,fear_greed_altme_lag1,2263,1167a8613df8d6f0,1.2432473015376975,2.001034116625445,0.4174640036790286,not_high_corr
BTC,daily,long_sample_lagged_state_association,full_common_sample,fear_greed_change_lag1,2263,1167a8613df8d6f0,1.274437248571705,2.001034116625445,0.4566503620436478,not_high_corr
BTC,daily,long_sample_lagged_state_association,full_common_sample,btc_oi_growth_lag1,2263,1167a8613df8d6f0,1.024690125020022,2.001034116625445,0.1278125584185071,not_high_corr
BTC,daily,long_sample_lagged_state_association,full_common_sample,btc_funding_z_lag1,2263,1167a8613df8d6f0,1.3000206823203697,2.001034116625445,0.4174640036790286,not_high_corr
BTC,daily,long_sample_lagged_state_association,full_common_sample,btc_exchange_netflow_scaled_lag1,2263,1167a8613df8d6f0,1.01852030009684,2.001034116625445,0.0901158890882727,not_high_corr
