event_id,event_date,event_label,aligned_date,universe,window_days,pre_window_return,post_window_return,method_note
svb_crisis_2023,2023-03-10,SVB failure and stablecoin-depeg episode.,2023-03-10,btc,1,-0.008882999607381148,0.016192126764050574,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
svb_crisis_2023,2023-03-10,SVB failure and stablecoin-depeg episode.,2023-03-10,btc,5,-0.09932209437159911,0.2117355781133945,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
svb_crisis_2023,2023-03-10,SVB failure and stablecoin-depeg episode.,2023-03-10,btc,10,-0.12787182587666268,0.38296608071304816,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
svb_crisis_2023,2023-03-10,SVB failure and stablecoin-depeg episode.,2023-03-10,btc,20,-0.1804975043622934,0.38851200792275375,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
svb_crisis_2023,2023-03-10,SVB failure and stablecoin-depeg episode.,2023-03-10,clean_risk_ex_btc_eth,1,0.001626266758169015,-0.0072566340503253945,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
svb_crisis_2023,2023-03-10,SVB failure and stablecoin-depeg episode.,2023-03-10,clean_risk_ex_btc_eth,5,-0.06989487951041018,0.06469300394266653,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
svb_crisis_2023,2023-03-10,SVB failure and stablecoin-depeg episode.,2023-03-10,clean_risk_ex_btc_eth,10,-0.11035252008504115,0.1254071367443388,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
svb_crisis_2023,2023-03-10,SVB failure and stablecoin-depeg episode.,2023-03-10,clean_risk_ex_btc_eth,20,-0.17065853760719818,0.176115719819389,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
svb_crisis_2023,2023-03-10,SVB failure and stablecoin-depeg episode.,2023-03-10,eth,1,-0.007339411319497113,0.03133743704532743,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
svb_crisis_2023,2023-03-10,SVB failure and stablecoin-depeg episode.,2023-03-10,eth,5,-0.08548326221989078,0.1598139339675435,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
