mvrv_state_quintile,n,next_week_return_mean,next_day_return_mean,realized_vol_30d_median,future_30d_min_drawdown_median,funding_z_median,leverage_percentile_median
Q1 low,388,0.0034706523297767,0.0002415035857737,0.633294280117709,-0.0618218583442377,-0.0799309329994722,0.950495363125511
Q2,450,-0.0023558251529362,-0.0003575287168084,0.44240358337167,-0.0613164765709838,-0.0686007153122022,0.712931034482759
Q3,256,-0.001812800534119,0.0001051447527841,0.626502733467376,-0.104693260233717,-0.398054640844311,0.735053487960099
Q4,698,0.0067395912183841,0.0007356946470764,0.484211231932562,-0.058423364169182,-0.127611556144636,0.692395304012616
Q5 high,464,0.0207882764892621,0.0034238911955611,0.57764777255102,-0.0643445106741696,0.437541290306166,0.761349587912088
