regressor,beta,hac_se,t,p,label,n,r2,adj_r2
const,-0.0017007007501856938,0.0006152854251673795,-2.7640842454915013,0.005708279930956927,etf_flow_regression,821,0.23654648875304907,0.2328040695802699
btc_etf_intensity,46.13243522830271,5.3195017357864876,8.672322619607536,4.233940259663909e-18,etf_flow_regression,821,0.23654648875304907,0.2328040695802699
spy_ret,0.5734015758612854,0.2022158594638474,2.8355915178047613,0.004574090779879636,etf_flow_regression,821,0.23654648875304907,0.2328040695802699
VIXCLS_d1,-0.0030766523142382735,0.00102733739756156,-2.9947827476551243,0.0027464037906153303,etf_flow_regression,821,0.23654648875304907,0.2328040695802699
DGS10_d1,0.022173505901501727,0.022538757173247763,0.9837945247407178,0.3252165519813509,etf_flow_regression,821,0.23654648875304907,0.2328040695802699
