asset,benchmark,window_days,n_windows,sample_start,sample_end,correlation_median,correlation_q05,correlation_q95
ADA,BTC,180,384,2025-05-28,2026-06-16,0.811306303063853,0.762026768144476,0.830310990142526
BNB,BTC,180,384,2025-05-28,2026-06-16,0.701943906879894,0.645478666876023,0.884632412750682
DOGE,BTC,180,384,2025-05-28,2026-06-16,0.791422467557023,0.750253472743025,0.847253906930134
ETH,BTC,180,384,2025-05-28,2026-06-16,0.824847752308307,0.781388195150217,0.921148768401429
HYPE,BTC,180,384,2025-05-28,2026-06-16,0.624629288606817,0.440410364609879,0.664594168476534
SOL,BTC,180,384,2025-05-28,2026-06-16,0.819554735030596,0.77571773530713,0.906221840584527
TON,BTC,180,384,2025-05-28,2026-06-16,0.639828398044356,0.463924772688441,0.724881511060531
TRX,BTC,180,384,2025-05-28,2026-06-16,0.469237042523387,0.363703499968525,0.527680442631366
XRP,BTC,180,384,2025-05-28,2026-06-16,0.795592014948343,0.744580434441436,0.884496888693292
