component,variance_share,cumulative_variance_share,n,sample_start,sample_end
PC1,0.651329453658988,0.651329453658988,563,2024-11-30,2026-06-16
PC2,0.0974382421348742,0.748767695793862,563,2024-11-30,2026-06-16
PC3,0.0635202719033647,0.812287967697227,563,2024-11-30,2026-06-16
PC4,0.0540653169104344,0.866353284607661,563,2024-11-30,2026-06-16
PC5,0.0402538986656997,0.906607183273361,563,2024-11-30,2026-06-16
PC6,0.0244968538210395,0.9311040370944,563,2024-11-30,2026-06-16
PC7,0.0220725024625851,0.953176539556985,563,2024-11-30,2026-06-16
PC8,0.0192526721796439,0.972429211736629,563,2024-11-30,2026-06-16
PC9,0.0151863174329101,0.987615529169539,563,2024-11-30,2026-06-16
PC10,0.0123844708304605,1,563,2024-11-30,2026-06-16
