asset,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
BTC,0.349684971246041,0.1414070341339,-0.033313607978423,0.14515889637004,0.224540133257163,0.262255804130448,-0.673526434594139,0.171632178535705,0.0719113821352217,-0.47757772349676
ETH,0.359237418578093,0.114298735033147,-0.0247647144417004,0.0471499103972444,0.20798207756599,0.365558856260434,0.0560770577206971,0.366106509940014,0.230090126192108,0.698597144252718
BNB,0.32159185254981,-0.177711614182144,0.123451786634004,-0.0723785594422184,0.698313901513206,-0.581989968366779,0.118893297559089,-0.0527904458194544,0.0279331555419287,-0.0214691916317117
SOL,0.354010816511009,0.0816080916862529,-0.0392348284691459,0.124394301909336,0.0703039414092619,0.308106491865244,0.0650116675116322,-0.838760156833943,-0.179273040752171,0.106051646849846
XRP,0.33399174280515,0.178786701395462,0.0651391242627131,0.290800711594171,-0.439226255337768,-0.515315873669343,-0.305809529274187,0.0616237252015609,-0.356133099798225,0.291648388064417
DOGE,0.355348252381457,0.146947050731942,0.0259092633394471,0.0240526982263505,-0.0331159851163384,0.186737656913098,0.562280532429838,0.340517841455773,-0.509419016358232,-0.351137022949131
TRX,0.151342924428414,-0.871122135669227,0.284048126659749,0.277622530644945,-0.159250296477572,0.171049405789588,-0.0302102290643199,0.0610494533084514,-0.0347591238952013,-0.00418206401404012
TON,0.277994413141361,-0.0447124010379543,0.369580580507584,-0.83868675348901,-0.233024483913373,0.0418141425225891,-0.15033112863017,-0.0390706424729335,-0.0143315726558574,0.0188266183395077
ADA,0.350822325393688,0.130399600465524,0.0812123708846582,0.165150117830199,-0.348521169911765,-0.155616603916387,0.302458052709885,-0.0675633365697638,0.721870862184496,-0.251441596678322
HYPE,0.242567881025553,-0.311902871496294,-0.867591037693164,-0.251207672982158,-0.136366381442419,-0.091117676029695,-0.0135472216452263,0.0251941987439189,0.0108881261115689,-0.0149288703156531
