block,component,explained_variance_ratio,n_variables
Macro,1,0.37427259243708405,5
Macro,2,0.23777821426329515,5
TradFi,1,0.6518882311095991,3
TradFi,2,0.32432300207444686,3
Liquidity,1,0.5876567520392421,2
Liquidity,2,0.4123432479607579,2
BTC Native,1,0.28178720609659863,4
BTC Native,2,0.26174440361909257,4
ETF Flow,1,0.7521689236958121,2
ETF Flow,2,0.24783107630418794,2
