ordering,from,to,share,lag_order,n,horizon,error
crypto_first,btc_ret,btc_ret,0.99589457670419,1,2291,10,
crypto_first,btc_ret,eth_ret,0.002674427619391434,1,2291,10,
crypto_first,btc_ret,spy_ret,0.0010034195775992332,1,2291,10,
crypto_first,btc_ret,VIXCLS_d1,0.00042757609881933074,1,2291,10,
crypto_first,eth_ret,btc_ret,0.6702793557865686,1,2291,10,
crypto_first,eth_ret,eth_ret,0.3291810767754756,1,2291,10,
crypto_first,eth_ret,spy_ret,0.00021341829510845262,1,2291,10,
crypto_first,eth_ret,VIXCLS_d1,0.0003261491428473503,1,2291,10,
crypto_first,spy_ret,btc_ret,0.11083900161484586,1,2291,10,
crypto_first,spy_ret,eth_ret,0.016473498248630113,1,2291,10,
crypto_first,spy_ret,spy_ret,0.8726414108360957,1,2291,10,
crypto_first,spy_ret,VIXCLS_d1,4.608930042831313e-05,1,2291,10,
crypto_first,VIXCLS_d1,btc_ret,0.10590686238139095,1,2291,10,
crypto_first,VIXCLS_d1,eth_ret,0.01757146643724334,1,2291,10,
crypto_first,VIXCLS_d1,spy_ret,0.48521776497813435,1,2291,10,
crypto_first,VIXCLS_d1,VIXCLS_d1,0.39130390620323124,1,2291,10,
tradfi_first,spy_ret,spy_ret,0.9964633007636817,1,2291,10,
tradfi_first,spy_ret,VIXCLS_d1,0.00020607569716959463,1,2291,10,
tradfi_first,spy_ret,btc_ret,0.0021946175616732073,1,2291,10,
tradfi_first,spy_ret,eth_ret,0.001136005977475585,1,2291,10,
tradfi_first,VIXCLS_d1,spy_ret,0.6006008295614993,1,2291,10,
tradfi_first,VIXCLS_d1,VIXCLS_d1,0.3982654910404071,1,2291,10,
tradfi_first,VIXCLS_d1,btc_ret,0.001102445328713317,1,2291,10,
tradfi_first,VIXCLS_d1,eth_ret,3.1234069380403176e-05,1,2291,10,
tradfi_first,btc_ret,spy_ret,0.1128504649117984,1,2291,10,
tradfi_first,btc_ret,VIXCLS_d1,0.012236154648141324,1,2291,10,
tradfi_first,btc_ret,btc_ret,0.8725912423340448,1,2291,10,
tradfi_first,btc_ret,eth_ret,0.0023221381060154946,1,2291,10,
tradfi_first,eth_ret,spy_ret,0.11948758829311534,1,2291,10,
tradfi_first,eth_ret,VIXCLS_d1,0.014954760619547394,1,2291,10,
tradfi_first,eth_ret,btc_ret,0.5435306122730735,1,2291,10,
tradfi_first,eth_ret,eth_ret,0.3220270388142638,1,2291,10,
risk_first,VIXCLS_d1,VIXCLS_d1,0.9943064608448834,1,2291,10,
risk_first,VIXCLS_d1,spy_ret,0.004559859757022911,1,2291,10,
risk_first,VIXCLS_d1,btc_ret,0.0011024453287133101,1,2291,10,
risk_first,VIXCLS_d1,eth_ret,3.123406938040258e-05,1,2291,10,
risk_first,spy_ret,VIXCLS_d1,0.5948912475104677,1,2291,10,
risk_first,spy_ret,spy_ret,0.40177812895038356,1,2291,10,
risk_first,spy_ret,btc_ret,0.0021946175616732026,1,2291,10,
risk_first,spy_ret,eth_ret,0.001136005977475583,1,2291,10,
risk_first,btc_ret,VIXCLS_d1,0.10737926243020329,1,2291,10,
risk_first,btc_ret,spy_ret,0.017707357129736413,1,2291,10,
risk_first,btc_ret,btc_ret,0.8725912423340447,1,2291,10,
risk_first,btc_ret,eth_ret,0.002322138106015498,1,2291,10,
risk_first,eth_ret,VIXCLS_d1,0.11812796560838514,1,2291,10,
risk_first,eth_ret,spy_ret,0.016314383304277508,1,2291,10,
risk_first,eth_ret,btc_ret,0.5435306122730734,1,2291,10,
risk_first,eth_ret,eth_ret,0.32202703881426387,1,2291,10,
eth_first,eth_ret,eth_ret,0.9994365970640826,1,2291,10,
eth_first,eth_ret,btc_ret,2.383549796158568e-05,1,2291,10,
eth_first,eth_ret,spy_ret,0.000213418295108458,1,2291,10,
eth_first,eth_ret,VIXCLS_d1,0.0003261491428473572,1,2291,10,
eth_first,btc_ret,eth_ret,0.6717106492660495,1,2291,10,
eth_first,btc_ret,btc_ret,0.32685835505753175,1,2291,10,
eth_first,btc_ret,spy_ret,0.0010034195775992646,1,2291,10,
eth_first,btc_ret,VIXCLS_d1,0.0004275760988193329,1,2291,10,
eth_first,spy_ret,eth_ret,0.11968400988681559,1,2291,10,
eth_first,spy_ret,btc_ret,0.007628489976660411,1,2291,10,
eth_first,spy_ret,spy_ret,0.8726414108360957,1,2291,10,
eth_first,spy_ret,VIXCLS_d1,4.608930042831174e-05,1,2291,10,
eth_first,VIXCLS_d1,eth_ret,0.11713853431892995,1,2291,10,
eth_first,VIXCLS_d1,btc_ret,0.006339794499704339,1,2291,10,
eth_first,VIXCLS_d1,spy_ret,0.4852177649781343,1,2291,10,
eth_first,VIXCLS_d1,VIXCLS_d1,0.3913039062032314,1,2291,10,
