asset,term,beta,hac_se,t,p,label,n,r2,adj_r2
btc,const,0.00011612664612861534,0.0005624846133106671,0.20645301823478887,0.8364370601600888,btc_pca_blocks,553,0.47965766864765136,0.47005725663008036
btc,Macro_pc1,0.00022228004507413523,0.0007346905922713269,0.30254919201693753,0.7622334395091789,btc_pca_blocks,553,0.47965766864765136,0.47005725663008036
btc,Macro_pc2,-0.0020722964047792127,0.0010292548724781742,-2.013394796752013,0.044073112566629706,btc_pca_blocks,553,0.47965766864765136,0.47005725663008036
btc,TradFi_pc1,0.003446891074567383,0.0011771312504552428,2.928213037615249,0.003409163672854097,btc_pca_blocks,553,0.47965766864765136,0.47005725663008036
btc,TradFi_pc2,0.0005097123890307418,0.0006759046455636369,0.754118783435336,0.4507778995311056,btc_pca_blocks,553,0.47965766864765136,0.47005725663008036
btc,Liquidity_pc1,-0.0035955284493563726,0.000877166497951871,-4.099026191437665,4.148920884511481e-05,btc_pca_blocks,553,0.47965766864765136,0.47005725663008036
btc,Liquidity_pc2,-0.002472512226505729,0.001072070656071531,-2.3062959633331834,0.02109410054919604,btc_pca_blocks,553,0.47965766864765136,0.47005725663008036
btc,BTC Native_pc1,-0.006643174285231439,0.0007842993735810645,-8.470202207224899,2.4496741202979867e-17,btc_pca_blocks,553,0.47965766864765136,0.47005725663008036
btc,BTC Native_pc2,0.0059303479114757715,0.0010123590987521094,5.8579489420165745,4.6861866687100765e-09,btc_pca_blocks,553,0.47965766864765136,0.47005725663008036
btc,ETF Flow_pc1,0.004714937293713119,0.0007902522135259149,5.966370246122064,2.425894810570413e-09,btc_pca_blocks,553,0.47965766864765136,0.47005725663008036
btc,ETF Flow_pc2,-0.004781375439755194,0.0009389756294801651,-5.092118783106495,3.540841468694871e-07,btc_pca_blocks,553,0.47965766864765136,0.47005725663008036
eth,const,-0.0009375600275831904,0.0009650195090375504,-0.9715451540645574,0.3312768790848183,eth_pca_blocks,553,0.3837200265092642,0.37234954729356795
eth,Macro_pc1,-0.001382192955285767,0.0011285548627440892,-1.224745912595649,0.2206709694965554,eth_pca_blocks,553,0.3837200265092642,0.37234954729356795
eth,Macro_pc2,-0.0021540655175523856,0.0017008109863398864,-1.2664931816955713,0.20533656897749475,eth_pca_blocks,553,0.3837200265092642,0.37234954729356795
eth,TradFi_pc1,0.008254987106162391,0.0016438097101395635,5.021862965793968,5.11726890394088e-07,eth_pca_blocks,553,0.3837200265092642,0.37234954729356795
eth,TradFi_pc2,-0.0010202655853722607,0.000982063083052731,-1.0389002529254818,0.29885112876121966,eth_pca_blocks,553,0.3837200265092642,0.37234954729356795
eth,Liquidity_pc1,-0.0039920108268458624,0.0015545326929334732,-2.5679812621455764,0.010229268531065447,eth_pca_blocks,553,0.3837200265092642,0.37234954729356795
eth,Liquidity_pc2,-0.001499482546834418,0.001824469668888541,-0.8218731023069823,0.4111491228982188,eth_pca_blocks,553,0.3837200265092642,0.37234954729356795
eth,BTC Native_pc1,-0.008775052469120505,0.001414801203761199,-6.2023218850763895,5.563613654271793e-10,eth_pca_blocks,553,0.3837200265092642,0.37234954729356795
eth,BTC Native_pc2,0.005157071346782857,0.0013717465124498515,3.7594929529455534,0.00017025807306583516,eth_pca_blocks,553,0.3837200265092642,0.37234954729356795
eth,ETF Flow_pc1,0.006964786780457258,0.0013546295122696071,5.1414698390766205,2.725974180777826e-07,eth_pca_blocks,553,0.3837200265092642,0.37234954729356795
eth,ETF Flow_pc2,-0.002002444966840016,0.0016194503672997762,-1.23649665792403,0.2162740072503161,eth_pca_blocks,553,0.3837200265092642,0.37234954729356795
