spec,regressor,beta,hac_se,t,p,label,n,r2,adj_r2
lag1_only,const,0.00040736997655595924,0.0008366487561586569,0.4869068095270175,0.6263243730417666,lag1_only,821,0.0007218983076419105,-0.0004982214746442892
lag1_only,btc_etf_intensity_lag1,3.9643250296008254,5.274788615241272,0.7515609285547634,0.4523151471775205,lag1_only,821,0.0007218983076419105,-0.0004982214746442892
lag1_plus_controls,const,-2.3940519819266236e-05,0.0007629402903657225,-0.03137928370225424,0.9749670622254253,lag1_plus_controls,821,0.1429415667770787,0.13979447338703133
lag1_plus_controls,btc_etf_intensity_lag1,5.5760645099311725,4.98413650927795,1.1187623973684009,0.26324151750464775,lag1_plus_controls,821,0.1429415667770787,0.13979447338703133
lag1_plus_controls,spy_ret,0.9148713656585789,0.21309089268216586,4.293338650672173,1.7600623346864364e-05,lag1_plus_controls,821,0.1429415667770787,0.13979447338703133
lag1_plus_controls,VIXCLS_d1,-0.0024152476798129153,0.0011705973143925292,-2.0632609097230725,0.03908784588422952,lag1_plus_controls,821,0.1429415667770787,0.13979447338703133
contemp_plus_lag1,const,-0.0012276211575654485,0.0006406011320523891,-1.9163580832777114,0.055319532362075916,contemp_plus_lag1,820,0.2509815576193085,0.24730539348492475
contemp_plus_lag1,btc_etf_intensity,56.62038709028019,5.882029939626238,9.625994371235386,6.210331550265508e-22,contemp_plus_lag1,820,0.2509815576193085,0.24730539348492475
contemp_plus_lag1,btc_etf_intensity_lag1,-19.438384615709126,5.155732106270398,-3.770247215146841,0.00016308591786169983,contemp_plus_lag1,820,0.2509815576193085,0.24730539348492475
contemp_plus_lag1,spy_ret,0.5079843300452692,0.19593953485756443,2.5925565783063713,0.00952655102299252,contemp_plus_lag1,820,0.2509815576193085,0.24730539348492475
contemp_plus_lag1,VIXCLS_d1,-0.0030730469051436717,0.0010592082693047667,-2.9012678565668013,0.003716560404720753,contemp_plus_lag1,820,0.2509815576193085,0.24730539348492475
