leverage_state,n,realized_vol_30d_median,abs_return_next_day_mean,bottom5_rate,same_day_liq_to_lag_oi_pct_median,same_day_liq_to_lag_mcap_bps_median,funding_z_lag1_median,method_note
Q1 low,453,0.636066014467206,0.0276307917626828,0.0706401766004415,0.4889043345239811,0.5881607018983024,-0.3878071035104954,Lagged leverage/funding/OI state is separated from same-day liquidation signatures and post-event response.
Q2,452,0.4829488868809113,0.0220182344199708,0.0353982300884955,0.4386536230432008,0.6310381869431341,-0.0281747992919908,Lagged leverage/funding/OI state is separated from same-day liquidation signatures and post-event response.
Q3,452,0.4820896526295783,0.0189064567408677,0.0420353982300885,0.3719920769954162,0.5691467927892127,-0.0713851689049345,Lagged leverage/funding/OI state is separated from same-day liquidation signatures and post-event response.
Q4,452,0.4480688648010392,0.0174229526674187,0.0287610619469026,0.4066456571348843,0.6202859278257015,0.0240691669978827,Lagged leverage/funding/OI state is separated from same-day liquidation signatures and post-event response.
Q5 high,453,0.5798830154772647,0.0223362817938171,0.0772626931567329,0.5056991191271267,0.8479990706185011,0.1683018730648348,Lagged leverage/funding/OI state is separated from same-day liquidation signatures and post-event response.
