asset,n,sample_start,sample_end,q05_return,expected_shortfall_5pct,downside_beta_to_btc_tail,btc_tail_days
ADA,563,2024-11-30,2026-06-16,-0.0661835826663301,-0.10988359814361,1.54387094346183,29
BNB,563,2024-11-30,2026-06-16,-0.0416530722868412,-0.0660293012210743,0.94614795654416,29
BTC,563,2024-11-30,2026-06-16,-0.0372467504452214,-0.0545796703333349,1.03571428571429,29
DOGE,563,2024-11-30,2026-06-16,-0.0728116481306697,-0.111028259982841,1.40328337891587,29
ETH,563,2024-11-30,2026-06-16,-0.0593842045712712,-0.0885441928343263,1.13106435036533,29
HYPE,563,2024-11-30,2026-06-16,-0.0890521597805378,-0.118249024457509,0.805709015120821,29
SOL,563,2024-11-30,2026-06-16,-0.064226502603758,-0.0945122655127002,1.33052196555525,29
TON,563,2024-11-30,2026-06-16,-0.0646794690754496,-0.101985220714136,0.81736888023523,29
TRX,563,2024-11-30,2026-06-16,-0.0325475449955639,-0.0595576206948163,0.210580859365998,29
XRP,563,2024-11-30,2026-06-16,-0.0596336494079825,-0.0943277502704799,1.69129265104236,29
