asset,n,sample_start,sample_end,pc1_beta,common_variance_share,idiosyncratic_variance_share,pc1_variance_share
ADA,563,2024-11-30,2026-06-16,0.0176113851590352,0.801632218391924,0.198367781608076,0.651329453658988
BNB,563,2024-11-30,2026-06-16,0.0088726042677672,0.673613516089673,0.326386483910327,0.651329453658988
BTC,563,2024-11-30,2026-06-16,0.00818400759999768,0.796442914588479,0.203557085411521,0.651329453658988
DOGE,563,2024-11-30,2026-06-16,0.0161380083090016,0.822449205841065,0.177550794158935,0.651329453658988
ETH,563,2024-11-30,2026-06-16,0.0135528594937462,0.840550579086494,0.159449420913506,0.651329453658988
HYPE,563,2024-11-30,2026-06-16,0.0144016956738167,0.383236889474267,0.616763110525733,0.651329453658988
SOL,563,2024-11-30,2026-06-16,0.0148462551332567,0.816269898303748,0.183730101696252,0.651329453658988
TON,563,2024-11-30,2026-06-16,0.0115921596892073,0.503353222965259,0.496646777034741,0.651329453658988
TRX,563,2024-11-30,2026-06-16,0.0053672123708806,0.149184932151189,0.850815067848811,0.651329453658988
XRP,563,2024-11-30,2026-06-16,0.0142266385220459,0.726561159697776,0.273438840302224,0.651329453658988
