symbol,canonical_name,source_symbols,n,first_date,last_date,annualized_volatility,downside_volatility,max_drawdown,positive_week_share,short_history_flag,status
ADA,Cardano,ADA,1262,2023-01-01,2026-06-16,0.842274593405196,0.545333781223199,-0.872662340236108,0.445054945054945,False,computed
BNB,BNB,BNB,1262,2023-01-01,2026-06-16,0.512369365136315,0.365264448188874,-0.564023419012594,0.505494505494505,False,computed
BTC,Bitcoin,BTC,1262,2023-01-01,2026-06-16,0.468100648228602,0.315346367382793,-0.512208588882204,0.494505494505495,False,computed
DOGE,Dogecoin,DOGE,1262,2023-01-01,2026-06-16,0.846288648928885,0.569455807385832,-0.825551941153568,0.483516483516484,False,computed
ETH,Ethereum,ETH,1262,2023-01-01,2026-06-16,0.635387190014924,0.445679293036988,-0.675151609781,0.5,False,computed
HYPE,Hyperliquid,HYPE,563,2024-11-30,2026-06-16,1.13530567031519,0.642970807212985,-0.683122493057698,0.524390243902439,True,computed
SOL,Solana,SOL,1262,2023-01-01,2026-06-16,0.856114755977031,0.519700193691778,-0.763262197954913,0.489010989010989,False,computed
TON,Toncoin,GRAM,1262,2023-01-01,2026-06-16,0.761560837623201,0.532624264412934,-0.852880652141481,0.456043956043956,False,computed
TRX,TRON,TRX,1262,2023-01-01,2026-06-16,0.544006353949272,0.366836135481111,-0.489557015327606,0.582417582417582,False,computed
XRP,XRP,XRP,1262,2023-01-01,2026-06-16,0.794989914430482,0.500599432742797,-0.692575552272154,0.456043956043956,False,computed
