source,dataset,tier,frequency,requires_key_env,key_available,safe_url,notes
defillama,chains_current,free,snapshot,,True,https://api.llama.fi/v2/chains,
defillama,stablecoins_current,free,snapshot,,True,https://stablecoins.llama.fi/stablecoins,
defillama,stablecoins_history,free,daily,,True,https://stablecoins.llama.fi/stablecoincharts/all,
defillama,dex_overview,free,daily,,True,https://api.llama.fi/overview/dexs,
defillama,fees_overview,free,daily,,True,https://api.llama.fi/overview/fees,
defillama,open_interest_overview,free,daily,,True,https://api.llama.fi/overview/open-interest,
binance,spot_exchange_info,free,snapshot,,True,https://api.binance.com/api/v3/exchangeInfo,
binance,spot_24h_tickers,free,snapshot,,True,https://api.binance.com/api/v3/ticker/24hr,
binance,spot_book_tickers,free,snapshot,,True,https://api.binance.com/api/v3/ticker/bookTicker,
binance,usd_m_futures_exchange_info,free,snapshot,,True,https://fapi.binance.com/fapi/v1/exchangeInfo,
binance,spot_daily_klines_BTCUSDT,free,daily,,True,https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000,
binance,usd_m_funding_rate_BTCUSDT,free,8h,,True,https://fapi.binance.com/fapi/v1/fundingRate?symbol=BTCUSDT&limit=1000,
binance,usd_m_futures_klines_BTCUSDT,free,daily,,True,https://fapi.binance.com/fapi/v1/klines?symbol=BTCUSDT&interval=1d&limit=1000,
binance,usd_m_mark_price_klines_BTCUSDT,free,daily,,True,https://fapi.binance.com/fapi/v1/markPriceKlines?symbol=BTCUSDT&interval=1d&limit=1000,
binance,usd_m_index_price_klines_BTCUSDT,free,daily,,True,https://fapi.binance.com/fapi/v1/indexPriceKlines?symbol=BTCUSDT&interval=1d&limit=1000,
binance,usd_m_premium_index_klines_BTCUSDT,free,daily,,True,https://fapi.binance.com/fapi/v1/premiumIndexKlines?symbol=BTCUSDT&interval=1d&limit=1000,
binance,usd_m_continuous_contract_klines_BTCUSDT,free,daily,,True,https://fapi.binance.com/fapi/v1/continuousKlines?pair=BTCUSDT&contractType=PERPETUAL&interval=1d&limit=1000,
binance,spot_daily_klines_ETHUSDT,free,daily,,True,https://api.binance.com/api/v3/klines?symbol=ETHUSDT&interval=1d&limit=1000,
binance,usd_m_funding_rate_ETHUSDT,free,8h,,True,https://fapi.binance.com/fapi/v1/fundingRate?symbol=ETHUSDT&limit=1000,
binance,usd_m_futures_klines_ETHUSDT,free,daily,,True,https://fapi.binance.com/fapi/v1/klines?symbol=ETHUSDT&interval=1d&limit=1000,
binance,usd_m_mark_price_klines_ETHUSDT,free,daily,,True,https://fapi.binance.com/fapi/v1/markPriceKlines?symbol=ETHUSDT&interval=1d&limit=1000,
binance,usd_m_index_price_klines_ETHUSDT,free,daily,,True,https://fapi.binance.com/fapi/v1/indexPriceKlines?symbol=ETHUSDT&interval=1d&limit=1000,
binance,usd_m_premium_index_klines_ETHUSDT,free,daily,,True,https://fapi.binance.com/fapi/v1/premiumIndexKlines?symbol=ETHUSDT&interval=1d&limit=1000,
binance,usd_m_continuous_contract_klines_ETHUSDT,free,daily,,True,https://fapi.binance.com/fapi/v1/continuousKlines?pair=ETHUSDT&contractType=PERPETUAL&interval=1d&limit=1000,
coinmarketcap,fear_greed_historical,basic_plus,daily,CMC_API_KEY,False,https://pro-api.coinmarketcap.com/v3/fear-and-greed/historical?start=1&limit=500,Requires X-CMC_PRO_API_KEY; skipped without CMC_API_KEY.
