asset,feature_id,window_days,beta_count,beta_median,beta_mean,beta_std,correlation_median,sample_count_median
BTC,dxy_ret,180,151,-0.2438327659536546,-0.2621891726988861,0.9305798240758008,-0.0249668176802795,180.0
BTC,dxy_ret,365,138,-0.1932955455164313,-0.2959013135829103,0.7047547661391127,-0.0206870866248054,365.0
BTC,gold_ret,180,151,0.2601691513170149,0.369390020431405,0.5175415782143968,0.0847740261925978,180.0
BTC,gold_ret,365,138,0.2532728837000258,0.3591845673460439,0.3508989228042666,0.0850446448207143,365.0
BTC,iwm_ret,365,1,1.016061988752992,1.016061988752992,,0.333283658131931,201.0
BTC,nominal_10y_d1,180,151,-0.00018868854316,0.0117563602975071,0.0704088847135459,-0.0001467672559371,180.0
BTC,nominal_10y_d1,365,138,0.0073353860813864,0.0064147212129122,0.0457033411682305,0.0115867937674923,365.0
BTC,qqq_ret,180,151,0.9639433714002892,0.8927620248166074,0.3605411603877818,0.3614109190022905,180.0
BTC,qqq_ret,365,138,0.886250234464308,0.8591956519854717,0.2482983983795254,0.3594866148031024,365.0
BTC,real_yield_d1,180,151,-0.050511426749642,-0.0411291444893309,0.0674328207498906,-0.0659285495621399,180.0
BTC,real_yield_d1,365,138,-0.0336026099176389,-0.0363333669814243,0.0430781419477579,-0.0603611433941721,365.0
BTC,spy_ret,180,151,1.2825464070797226,1.195390881551872,0.4912800360757432,0.3504346036785961,180.0
BTC,spy_ret,365,138,1.133545243869405,1.1379058685006842,0.348192917141096,0.3528327640699064,365.0
BTC,vix_d1,180,151,-0.0065639692961926,-0.006899932243192,0.0026283147208679,-0.3383057241133824,180.0
BTC,vix_d1,365,138,-0.0067393837114916,-0.0066449312995372,0.002078071796684,-0.3159685617503678,365.0
ETH,dxy_ret,180,151,-0.2887243075949351,-0.3969367508068429,1.1709102251023655,-0.0244446968519066,180.0
ETH,dxy_ret,365,138,-0.2365123589666147,-0.501584531793357,0.8027823126810075,-0.0232371954423344,365.0
ETH,gold_ret,180,151,0.4600739616050032,0.5129194770400635,0.5555064605752972,0.091836015204531,180.0
ETH,gold_ret,365,138,0.4870970086810858,0.5010465367675132,0.3707266598187423,0.0876126244612354,365.0
ETH,iwm_ret,365,1,1.4122357757856447,1.4122357757856447,,0.3504870304908509,201.0
ETH,nominal_10y_d1,180,151,0.0017064269675514,-0.0005145960240451,0.0940860636937885,0.0015479926894773,180.0
ETH,nominal_10y_d1,365,138,-0.0094050750567243,-0.006399884827667,0.0560558607533424,-0.0089436392315541,365.0
ETH,qqq_ret,180,151,1.2487818989109347,1.2286495564586164,0.5712023992351115,0.3943343832189444,180.0
ETH,qqq_ret,365,138,1.2496330445642343,1.1450799653561974,0.3393004693478469,0.3728475047267796,365.0
ETH,real_yield_d1,180,151,-0.0582769484237069,-0.0729701269567121,0.1040012161344815,-0.0633050153572946,180.0
ETH,real_yield_d1,365,138,-0.0508427390431099,-0.0671825780835131,0.0662558251505178,-0.0567858024524881,365.0
ETH,spy_ret,180,151,1.6474303638933014,1.628753729476601,0.7219126932440538,0.3790306743235846,180.0
ETH,spy_ret,365,138,1.5367623971343776,1.5119219571050106,0.4164747862995549,0.385732434028507,365.0
ETH,vix_d1,180,151,-0.0088139700087533,-0.0093350607067711,0.0036830894007991,-0.3494421003267619,180.0
ETH,vix_d1,365,138,-0.0083095662996675,-0.0087873242473763,0.0025275003954681,-0.325534929689887,365.0
