asset,regime,n,r2,feature_count,calendar,calendar_assumption,method_note
BTC,btc_etf_era,436,0.2472265585306232,8,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,"Contemporaneous TradFi exposure model, descriptive regime split."
BTC,full_common_sample,1233,0.2373892349830511,8,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,"Contemporaneous TradFi exposure model, descriptive regime split."
BTC,pre_btc_etf,797,0.2588826615491054,8,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,"Contemporaneous TradFi exposure model, descriptive regime split."
ETH,btc_etf_era,436,0.2821757694199051,8,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,"Contemporaneous TradFi exposure model, descriptive regime split."
ETH,full_common_sample,1233,0.2337466088795149,8,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,"Contemporaneous TradFi exposure model, descriptive regime split."
ETH,pre_btc_etf,797,0.2426798890541518,8,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,"Contemporaneous TradFi exposure model, descriptive regime split."
