asset,frequency,model_family,regime,feature_id,n,row_index_hash,calendar,calendar_assumption,vif,condition_number,max_abs_pairwise_corr,correlation_cluster
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,qqq_ret,1233,e67342d46aa84be9,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,9.20744088898147,9.213441293338851,0.9388227470470768,high_corr
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,spy_ret,1233,e67342d46aa84be9,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,15.7820760506553,9.213441293338851,0.9388227470470768,high_corr
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,iwm_ret,1233,e67342d46aa84be9,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,4.189403065693893,9.213441293338851,0.8599471814662455,high_corr
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,dxy_ret,1233,e67342d46aa84be9,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,1.0964737775655653,9.213441293338851,0.2161010175418818,not_high_corr
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,gold_ret,1233,e67342d46aa84be9,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,1.1742347237011417,9.213441293338851,0.3407870155553216,not_high_corr
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,vix_d1,1233,e67342d46aa84be9,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,2.597850136481028,9.213441293338851,0.7797977925171071,high_corr
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,real_yield_d1,1233,e67342d46aa84be9,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,3.355509131082524,9.213441293338851,0.8214508990084982,high_corr
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,nominal_10y_d1,1233,e67342d46aa84be9,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,3.3055642945589745,9.213441293338851,0.8214508990084982,high_corr
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,qqq_ret,797,97a52cd033d2f792,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,8.436658221861752,8.931471787043165,0.932247591978583,high_corr
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,spy_ret,797,97a52cd033d2f792,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,15.033362733402551,8.931471787043165,0.932247591978583,high_corr
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,iwm_ret,797,97a52cd033d2f792,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,4.622735739709007,8.931471787043165,0.8742788887784209,high_corr
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,dxy_ret,797,97a52cd033d2f792,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,1.139096177821578,8.931471787043165,0.2500556579206308,not_high_corr
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,gold_ret,797,97a52cd033d2f792,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,1.2757258056319625,8.931471787043165,0.4363667461801061,not_high_corr
