model_id,asset,sample,n,r2,adj_r2,delta_r2_vs_prev,variables,missing_variables,note
M0_intercept,btc,full,2292,1.1102230246251565e-16,2.220446049250313e-16,,,,ok
M1_macro,btc,full,2287,0.11443456504801608,0.1124933869792919,0.11443456504801597,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1,,ok
M2_macro_tradfi,btc,full,2287,0.13831137002590255,0.13528524665461517,0.023876804977886468,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret,,ok
M3_macro_tradfi_liquidity,btc,full,2287,0.13859506023848778,0.13481032851721575,0.0002836902125852303,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret;defi_tvl_usd_ret;stables_total_usd_ret,,ok
M4_plus_sentiment,btc,full,2287,0.1420350647694214,0.13788666288479,0.003440004530933627,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret;defi_tvl_usd_ret;stables_total_usd_ret;fng_value_d1,,ok
M5_plus_native_ex_mvrv,btc,full,1940,0.1459934681803734,0.13978251158532162,0.003958403410951994,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret;defi_tvl_usd_ret;stables_total_usd_ret;fng_value_d1;cme_btc_basis_close_d1;btc_exchange_netflow_d1;btc_miner_to_exchange_flow_d1,,ok
M6_plus_mvrv,btc,full,1940,0.9207488900191318,0.9201310279350814,0.7747554218387585,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret;defi_tvl_usd_ret;stables_total_usd_ret;fng_value_d1;cme_btc_basis_close_d1;btc_exchange_netflow_d1;btc_miner_to_exchange_flow_d1;btc_mvrv_d1,,ok
M7_plus_etf_intensity_post_launch,btc,full,729,0.9727872987245908,0.9721757773476153,0.05203840870545895,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret;defi_tvl_usd_ret;stables_total_usd_ret;fng_value_d1;cme_btc_basis_close_d1;btc_exchange_netflow_d1;btc_miner_to_exchange_flow_d1;btc_mvrv_d1;btc_etf_intensity,,ETF intensity is only interpretable on post-launch support
M0_intercept,btc,pre_btc_etf,1470,1.1102230246251565e-16,1.1102230246251565e-16,,,,ok
M1_macro,btc,pre_btc_etf,1465,0.11311846661039393,0.11007911934038161,0.11311846661039382,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1,,ok
M2_macro_tradfi,btc,pre_btc_etf,1465,0.13681561037381917,0.13207283900224664,0.023697143763425244,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret,,ok
M3_macro_tradfi_liquidity,btc,pre_btc_etf,1465,0.13820361218891142,0.13227653937040318,0.0013880018150922435,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret;defi_tvl_usd_ret;stables_total_usd_ret,,ok
M4_plus_sentiment,btc,pre_btc_etf,1465,0.14358712513679528,0.13710361404010207,0.005383512947883862,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret;defi_tvl_usd_ret;stables_total_usd_ret;fng_value_d1,,ok
M5_plus_native_ex_mvrv,btc,pre_btc_etf,1210,0.14545549316058115,0.13544409308045402,0.0018683680237858713,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret;defi_tvl_usd_ret;stables_total_usd_ret;fng_value_d1;cme_btc_basis_close_d1;btc_exchange_netflow_d1;btc_miner_to_exchange_flow_d1,,ok
M6_plus_mvrv,btc,pre_btc_etf,1210,0.9043613867259324,0.903159896609424,0.7589058935653512,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret;defi_tvl_usd_ret;stables_total_usd_ret;fng_value_d1;cme_btc_basis_close_d1;btc_exchange_netflow_d1;btc_miner_to_exchange_flow_d1;btc_mvrv_d1,,ok
M7_plus_etf_intensity_post_launch,btc,pre_btc_etf,0,,,,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret;defi_tvl_usd_ret;stables_total_usd_ret;fng_value_d1;cme_btc_basis_close_d1;btc_exchange_netflow_d1;btc_miner_to_exchange_flow_d1;btc_mvrv_d1;btc_etf_intensity,,ETF intensity is only interpretable on post-launch support
M0_intercept,btc,post_btc_etf,822,4.440892098500626e-16,4.440892098500626e-16,,,,ok
M1_macro,btc,post_btc_etf,822,0.1261544526490047,0.1208000068931776,0.12615445264900427,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1,,ok
M2_macro_tradfi,btc,post_btc_etf,822,0.15221382614995993,0.1438715267762818,0.02605937350095522,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret,,ok
M3_macro_tradfi_liquidity,btc,post_btc_etf,822,0.15458105787062415,0.14415665661132226,0.00236723172066422,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret;defi_tvl_usd_ret;stables_total_usd_ret,,ok
M4_plus_sentiment,btc,post_btc_etf,822,0.15478090609039652,0.14330262209903155,0.00019984821977236944,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret;defi_tvl_usd_ret;stables_total_usd_ret;fng_value_d1,,ok
M5_plus_native_ex_mvrv,btc,post_btc_etf,730,0.16815648733582256,0.15186864233260788,0.013375581245426038,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret;defi_tvl_usd_ret;stables_total_usd_ret;fng_value_d1;cme_btc_basis_close_d1;btc_exchange_netflow_d1;btc_miner_to_exchange_flow_d1,,ok
M6_plus_mvrv,btc,post_btc_etf,730,0.9707416841576423,0.9701270136567525,0.8025851968218197,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret;defi_tvl_usd_ret;stables_total_usd_ret;fng_value_d1;cme_btc_basis_close_d1;btc_exchange_netflow_d1;btc_miner_to_exchange_flow_d1;btc_mvrv_d1,,ok
M7_plus_etf_intensity_post_launch,btc,post_btc_etf,729,0.9727872987245908,0.9721757773476153,0.002045614566948517,DGS10_d1;DGS2_d1;VIXCLS_d1;DTWEXBGS_d1;DFF_d1;spy_ret;qqq_ret;gld_ret;defi_tvl_usd_ret;stables_total_usd_ret;fng_value_d1;cme_btc_basis_close_d1;btc_exchange_netflow_d1;btc_miner_to_exchange_flow_d1;btc_mvrv_d1;btc_etf_intensity,,ETF intensity is only interpretable on post-launch support
