asset,flow_lag_days,flow_feature,return_corr,volatility_corr,n_return,n_volatility,calendar,calendar_assumption,close_time_assumption,lag_convention,language
BTC,0,btc_etf_flow_intensity_lag0,0.3788328402681363,-0.015754790706207,820,820,etf_trading_daily,ETF-era daily panel uses dates with ETF flow observations; BTC/ETH returns run from the prior ETF trading date to the current ETF trading date.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,lag 0 is current ETF trading-date reported flow intensity; lag 1 is prior ETF trading-date flow intensity,association_grid_not_causal
BTC,1,btc_etf_flow_intensity_lag1,0.0491351115505412,-0.0183509619839283,819,819,etf_trading_daily,ETF-era daily panel uses dates with ETF flow observations; BTC/ETH returns run from the prior ETF trading date to the current ETF trading date.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,lag 0 is current ETF trading-date reported flow intensity; lag 1 is prior ETF trading-date flow intensity,association_grid_not_causal
ETH,0,eth_etf_flow_intensity_lag0,0.2258931538452981,-0.0617265622813405,627,627,etf_trading_daily,ETF-era daily panel uses dates with ETF flow observations; BTC/ETH returns run from the prior ETF trading date to the current ETF trading date.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,lag 0 is current ETF trading-date reported flow intensity; lag 1 is prior ETF trading-date flow intensity,association_grid_not_causal
ETH,1,eth_etf_flow_intensity_lag1,0.0859258174845805,-0.0639008460027814,626,626,etf_trading_daily,ETF-era daily panel uses dates with ETF flow observations; BTC/ETH returns run from the prior ETF trading date to the current ETF trading date.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,lag 0 is current ETF trading-date reported flow intensity; lag 1 is prior ETF trading-date flow intensity,association_grid_not_causal
