date,btc_etf_cumulative_flow_usd,eth_etf_cumulative_flow_usd,btc_mcap_lag1,eth_mcap_lag1,btc_cum_flow_to_lag_mcap,eth_cum_flow_to_lag_mcap
2020-01-01,0,0,,,,
2020-01-02,0,0,130490056323.494,14248049463.3246,0,0
2020-01-03,0,0,126233809917.398,13871723578.1495,0,0
2020-01-04,0,0,133070026481.706,14645885601.7555,0,0
2020-01-05,0,0,133286762630.415,14630982904.5019,0,0
2020-01-06,0,0,133449927785.587,14776946034.1848,0,0
2020-01-07,0,0,140801757241.924,15742757378.9385,0,0
2020-01-08,0,0,147971497781.053,15604187905.2471,0,0
2020-01-09,0,0,146139470108.889,15365637170.0941,0,0
2020-01-10,0,0,141913435839.083,15043185493.2953,0,0
2020-01-11,0,0,148768421808.21,15818153401.3236,0,0
2020-01-12,0,0,145573314665.95,15547195514.2824,0,0
2020-01-13,0,0,148508827296.174,16000939620.0835,0,0
2020-01-14,0,0,147195794090.332,15679229282.2943,0,0
2020-01-15,0,0,159592201791.601,18045576854.7773,0,0
2020-01-16,0,0,159974478942.832,18158567271.3,0,0
2020-01-17,0,0,158296863908.298,17930544611.004,0,0
2020-01-18,0,0,161655464023.125,18545554409.9901,0,0
2020-01-19,0,0,161933277530.392,19036571494.063,0,0
2020-01-20,0,0,158074742060.712,18229036088.0849,0,0
2020-01-21,0,0,156836146306.675,18221485459.809,0,0
2020-01-22,0,0,158745616439.295,18524729724.3595,0,0
2020-01-23,0,0,157427652947.578,18341355280.2048,0,0
2020-01-24,0,0,152333665482.402,17762157538.6767,0,0
2020-01-25,0,0,153284852074.968,17766742489.2542,0,0
2020-01-26,0,0,151484808212.863,17529104819.7733,0,0
2020-01-27,0,0,156460190536.912,18367330096.8247,0,0
2020-01-28,0,0,161720840631.674,18571745296.0747,0,0
2020-01-29,0,0,170671585369.861,19239590675.262,0,0
2020-01-30,0,0,168829632460.032,18979219064.4831,0,0
2020-01-31,0,0,172872262456.4,20203648689.8546,0,0
2020-02-01,0,0,169960062973.984,19689607187.5013,0,0
2020-02-02,0,0,170740235414.117,20111555190.407,0,0
2020-02-03,0,0,170039272969.191,20673162553.4377,0,0
2020-02-04,0,0,168899521012.966,20756138273.3816,0,0
2020-02-05,0,0,166866103687.963,20632697561.5428,0,0
2020-02-06,0,0,174974597340.798,22334196450.8965,0,0
2020-02-07,0,0,177629178217.458,23331408523.1095,0,0
2020-02-08,0,0,178421620054.848,24440883414.9404,0,0
2020-02-09,0,0,180181235920.562,24464177353.0496,0,0
2020-02-10,0,0,184997925676.244,25071344107.0556,0,0
2020-02-11,0,0,179342342124.691,24432802257.624,0,0
2020-02-12,0,0,186932025909.296,26069296994.5941,0,0
2020-02-13,0,0,188195063366.124,29160546024.6533,0,0
2020-02-14,0,0,186201237863.882,29403907701.3572,0,0
2020-02-15,0,0,188496416208.91,31294971118.082,0,0
2020-02-16,0,0,180384790869.191,29046881000.9248,0,0
2020-02-17,0,0,180867873220.992,28410774044.0726,0,0
2020-02-18,0,0,177001235108.904,29428881230.2737,0,0
2020-02-19,0,0,185626829592.38,31082127811.1297,0,0
2020-02-20,0,0,174867507621.043,28366288981.919,0,0
2020-02-21,0,0,175125503905.063,28245095869.2761,0,0
2020-02-22,0,0,176644099650.165,29156000026.0523,0,0
2020-02-23,0,0,176127601430.76,28754187515.9325,0,0
2020-02-24,0,0,181829635312.322,30251462279.864,0,0
2020-02-25,0,0,176140797211.864,29178133434.3976,0,0
2020-02-26,0,0,169720773264.879,27072157128.8555,0,0
2020-02-27,0,0,160189290501.393,24596313018.9993,0,0
2020-02-28,0,0,161050531541.605,25040653329.36,0,0
2020-02-29,0,0,158818518172.778,25000504569.7463,0,0
2020-03-01,0,0,155867281220.372,23935143641.6177,0,0
2020-03-02,0,0,155477135423.17,23907157356.4115,0,0
2020-03-03,0,0,162911713317.195,25539096447.236,0,0
2020-03-04,0,0,159868628485.751,24612589698.3776,0,0
2020-03-05,0,0,160121518492.548,24725517638.3524,0,0
2020-03-06,0,0,165597397106.618,25158785722.6224,0,0
2020-03-07,0,0,167132566581.465,26999833441.5503,0,0
2020-03-08,0,0,162279323907.368,26102158241.7544,0,0
2020-03-09,0,0,147183015293.736,22018482928.5232,0,0
2020-03-10,0,0,145074158070.335,22353178522.4318,0,0
2020-03-11,0,0,144207591655.636,22086939502.5364,0,0
2020-03-12,0,0,144927809030.247,21417396551.0857,0,0
2020-03-13,0,0,88513666176.0115,11998178912.5438,0,0
2020-03-14,0,0,102713736810.369,14874144508.2008,0,0
2020-03-15,0,0,94671312525.3894,13517893023.7878,0,0
2020-03-16,0,0,98254938866.605,13669251996.8945,0,0
2020-03-17,0,0,92144927030.3431,12264437299.1324,0,0
2020-03-18,0,0,97569003075.8037,12804620762.0197,0,0
2020-03-19,0,0,98936809114.0412,13059318402.9037,0,0
2020-03-20,0,0,112997072764.641,15061615055.0805,0,0
2020-03-21,0,0,113405094627.103,14699854810.2463,0,0
2020-03-22,0,0,113330540399.854,14641205910.7447,0,0
2020-03-23,0,0,106441058776.935,13492766928.7889,0,0
2020-03-24,0,0,118684377898.566,15046338823.6521,0,0
2020-03-25,0,0,123746149310.219,15310678409.708,0,0
2020-03-26,0,0,122293829161.62,15025131362.7272,0,0
2020-03-27,0,0,123589147913.599,15311737721.0819,0,0
2020-03-28,0,0,116486852942.43,14494567377.1279,0,0
2020-03-29,0,0,114351421803.175,14478390564.8008,0,0
2020-03-30,0,0,107577339440.395,13726536824.904,0,0
2020-03-31,0,0,117240221118.306,14600810612.1023,0,0
2020-04-01,0,0,117579294867.539,14682134311.9133,0,0
2020-04-02,0,0,121976166012.926,15021530654.9775,0,0
2020-04-03,0,0,124392840672.928,15594070796.8612,0,0
2020-04-04,0,0,123501779440.575,15630332469.8947,0,0
2020-04-05,0,0,125582489409.48,15909742783.7758,0,0
2020-04-06,0,0,124128670023.984,15765662508.6281,0,0
2020-04-07,0,0,134408761246.458,18941537848.3911,0,0
2020-04-08,0,0,131850752011.335,18185808949.8773,0,0
2020-04-09,0,0,134844807700.903,19152981737.7529,0,0
2020-04-10,0,0,133517146336.471,18742963258.4753,0,0
2020-04-11,0,0,125830158091.632,17457757977.6619,0,0
2020-04-12,0,0,126084789118.022,17491706205.166,0,0
2020-04-13,0,0,126647900427.911,17544000279.1521,0,0
2020-04-14,0,0,125350092022.145,17278029295.8243,0,0
2020-04-15,0,0,126004808682.351,17532761521.0103,0,0
2020-04-16,0,0,121427681542.23,16891870306.7065,0,0
2020-04-17,0,0,130341498497.606,19077041714.1425,0,0
2020-04-18,0,0,129106944105.2,18908849190.9186,0,0
2020-04-19,0,0,132937387119.41,20727027192.8035,0,0
2020-04-20,0,0,130737378450.614,19937732023.7741,0,0
2020-04-21,0,0,125249844419.555,18827891912.7831,0,0
2020-04-22,0,0,125494838743.148,18889161427.5827,0,0
2020-04-23,0,0,130907497281.519,20250408139.5134,0,0
2020-04-24,0,0,137345767771.065,20543787350.0858,0,0
2020-04-25,0,0,137683208365.174,20763734177.4993,0,0
2020-04-26,0,0,138402248637.244,21506130275.1547,0,0
2020-04-27,0,0,141310484090.494,21878168056.9994,0,0
2020-04-28,0,0,142870123403.619,21764308620.5765,0,0
2020-04-29,0,0,142196858412.477,21753495514.0035,0,0
2020-04-30,0,0,161214451090.628,23865063634.873,0,0
2020-05-01,0,0,158304386915.371,22836367051.853,0,0
2020-05-02,0,0,162110474945.224,23495031354.3588,0,0
