liquidity_regime,n,stable_growth_mean,btc_return_mean,eth_return_mean,btc_vol_median,stablecoin_to_tvl_median
contraction/low,109,-0.0043196847159386,-0.0108452304774661,-0.0168738386897955,0.411434351271911,2.81425265938432
middle,109,0.0058044166618577,0.0093776427889691,0.0109286921190941,0.463223880049778,2.24015553386696
expansion/high,109,0.0374178035194206,0.0225806392227906,0.0318795575717868,0.580227047346719,1.82339690999304
