date,defi_tvl_usd,valuation_sensitive_defi_tvl_growth
2020-01-05,611312656.0,
2020-01-12,616715757.0,0.0087996919425101
2020-01-19,722303915.0,0.1580377530458108
2020-01-26,695253169.0,-0.0381699340513108
2020-02-02,798788470.0,0.1388201161099402
2020-02-09,907158176.0,0.1272206623317124
2020-02-16,1055097547.0,0.1510716736292572
2020-02-23,917192468.0,-0.1400711642466099
2020-03-01,827142708.0,-0.1033400977997907
2020-03-08,864526839.0,0.0442051091317594
2020-03-15,500878204.0,-0.5458193845911516
2020-03-22,493294754.0,-0.0152560920606248
2020-03-29,513006482.0,0.0391816068877126
2020-04-05,571488008.0,0.1079550190691058
2020-04-12,593923537.0,0.0385070858499361
2020-04-19,648643981.0,0.0881334152140667
2020-04-26,704976326.0,0.0832802214049657
2020-05-03,782068269.0,0.1037778151397503
2020-05-10,809797005.0,0.0348415679008091
2020-05-17,754654878.0,-0.0705230756389418
2020-05-24,965064677.0,0.2459345923827669
2020-05-31,1104016559.0,0.1345151039277716
2020-06-07,1166356805.0,0.0549301019995631
2020-06-14,1154936959.0,-0.0098392873044019
2020-06-21,1619259330.0,0.3379230794593262
2020-06-28,1892069877.0,0.1557025618318412
2020-07-05,2061643094.0,0.0858318804965954
2020-07-12,2383208057.0,0.1449442198402515
2020-07-19,2538505370.0,0.0631279676657712
2020-07-26,3511363205.0,0.3244288687460681
2020-08-02,3990659182.0,0.1279520862060152
2020-08-09,4378644330.0,0.0927827370028246
2020-08-16,5914500817.0,0.3006679383582629
2020-08-23,6335537512.0,0.0687675570223511
2020-08-30,7844581324.0,0.2136483580847787
2020-09-06,7572257943.0,-0.0353317181065797
2020-09-13,8599335006.0,0.1271935772467287
2020-09-20,9876592771.0,0.1384827156606327
2020-09-27,10305337261.0,0.0424943506593038
2020-10-04,9914090237.0,-0.0387049401719927
2020-10-11,9871684405.0,-0.0042865035812909
2020-10-18,9704822598.0,-0.0170475609423519
2020-10-25,10125177972.0,0.0424022533092838
2020-11-01,9878538103.0,-0.0246606547911696
2020-11-08,10509939726.0,0.0619569144248579
2020-11-15,11798768430.0,0.1156737057323837
2020-11-22,12422288261.0,0.051497143865653
2020-11-29,11520014524.0,-0.0754063835204874
2020-12-06,12936639955.0,0.1159776758768487
2020-12-13,12637314013.0,-0.0234097247416009
2020-12-20,14373816374.0,0.1287543769272687
2020-12-27,14597029518.0,0.0154098062493837
2021-01-03,15844734388.0,0.0820191795166955
2021-01-10,22292318709.0,0.3414049367580354
2021-01-17,22482481040.0,0.0084942188661223
2021-01-24,23528586294.0,0.0454797344477668
2021-01-31,27008023692.0,0.1379178757033656
2021-02-07,35568578562.0,0.2753286278178422
2021-02-14,41606018760.0,0.1567822150800282
2021-02-21,48029076986.0,0.1435617595120497
2021-02-28,40651666193.0,-0.1667667741331548
2021-03-07,45381915293.0,0.1100738602128572
2021-03-14,52387171847.0,0.1435480651511262
2021-03-21,54768937279.0,0.0444614459906631
2021-03-28,51947770237.0,-0.0528843999702459
2021-04-04,69170871898.0,0.2863410523838965
2021-04-11,76889427596.0,0.1057885368834767
2021-04-18,88638226523.0,0.1421948305979192
2021-04-25,83666275538.0,-0.0577272395530599
2021-05-02,105540350199.0,0.2322573705276234
2021-05-09,120721665673.0,0.1343942660500623
2021-05-16,115433783103.0,-0.0447905530944865
2021-05-23,74693893860.0,-0.4352987124622984
2021-05-30,78164308133.0,0.04541477899539
2021-06-06,90556561498.0,0.1471615187853991
2021-06-13,87197939876.0,-0.037793939049191
2021-06-20,84723658152.0,-0.0287858256795594
2021-06-27,74740236648.0,-0.125376289345624
2021-07-04,83782560850.0,0.1142062910805954
2021-07-11,86787690765.0,0.0352399187309409
2021-07-18,81018263441.0,-0.0687901963098625
2021-07-25,86313053352.0,0.0633062383415357
2021-08-01,95492687235.0,0.101068828920642
2021-08-08,105875240899.0,0.1032117571855693
2021-08-15,112840507267.0,0.0637139532925701
2021-08-22,116658474758.0,0.0332752654126338
2021-08-29,118594634080.0,0.016460594705169
2021-09-05,133249814432.0,0.1165144287193555
2021-09-12,124386763200.0,-0.0688299009156345
2021-09-19,129540307067.0,0.040596314694568
2021-09-26,119221088475.0,-0.0830124284736157
2021-10-03,129970018522.0,0.0863241413833897
2021-10-10,138359501178.0,0.0625515817119932
2021-10-17,147651984390.0,0.0650026691082352
2021-10-24,156691888018.0,0.059423332504334
2021-10-31,154267236142.0,-0.0155949822836909
2021-11-07,169008429285.0,0.0912621929611035
2021-11-14,174993505179.0,0.0348002688666717
2021-11-21,172461579474.0,-0.0145743759949787
2021-11-28,164143470765.0,-0.0494336168484714
2021-12-05,160846688780.0,-0.0202891994184817
2021-12-12,158749876755.0,-0.0131218062839693
2021-12-19,161111975260.0,0.0147697603207319
2021-12-26,171930980013.0,0.064993495538534
2022-01-02,166646969088.0,-0.0312154999876774
2022-01-09,151119940310.0,-0.097803789088573
2022-01-16,160475231477.0,0.0600657814367231
2022-01-23,128686220129.0,-0.220762570480808
2022-01-30,128888859703.0,0.0015734411569532
2022-02-06,140598158735.0,0.0869554032007506
2022-02-13,139728534135.0,-0.0062043851816895
2022-02-20,135876518344.0,-0.0279549783971901
2022-02-27,136359745971.0,0.00355006439516
2022-03-06,135666951986.0,-0.0050935844757731
2022-03-13,134931591263.0,-0.005435081241675
2022-03-20,145422804683.0,0.0748774751906502
