liquidity_regime,n,stable_growth_mean,btc_return_mean,eth_return_mean,btc_vol_median,stablecoin_to_tvl_median,calendar,calendar_assumption,method_note
contraction/low,109,-0.0043196847159386,-0.0108452304774661,-0.0168738386897955,0.4114343512719114,2.814252659384316,crypto_week_sunday,Crypto-native weekly state panel uses Sunday-ended crypto weeks; returns sum daily log returns and state variables use week-end or prior week-end values by semantic type.,"Sunday-ended crypto weekly aggregation; stablecoin supply is cleaner than raw USD TVL, while TVL is valuation-sensitive."
middle,109,0.0058044166618577,0.0093776427889691,0.0109286921190941,0.4632238800497785,2.2401555338669623,crypto_week_sunday,Crypto-native weekly state panel uses Sunday-ended crypto weeks; returns sum daily log returns and state variables use week-end or prior week-end values by semantic type.,"Sunday-ended crypto weekly aggregation; stablecoin supply is cleaner than raw USD TVL, while TVL is valuation-sensitive."
expansion/high,109,0.0374178035194206,0.0225806392227906,0.0318795575717868,0.5802270473467195,1.8233969099930432,crypto_week_sunday,Crypto-native weekly state panel uses Sunday-ended crypto weeks; returns sum daily log returns and state variables use week-end or prior week-end values by semantic type.,"Sunday-ended crypto weekly aggregation; stablecoin supply is cleaner than raw USD TVL, while TVL is valuation-sensitive."
