from,to,min,max,mean,range
eth_ret,eth_ret,0.3220270388142638,0.9994365970640826,0.49316793786702146,0.6774095582498187
eth_ret,btc_ret,2.383549796158568e-05,0.6702793557865686,0.4393411039576693,0.670255520288607
btc_ret,eth_ret,0.0023221381060154946,0.6717106492660495,0.16975733827436798,0.6693885111600341
btc_ret,btc_ret,0.32685835505753175,0.99589457670419,0.7669838541074528,0.6690362216466583
VIXCLS_d1,VIXCLS_d1,0.39130390620323124,0.9943064608448834,0.5437949410729382,0.6030025546416522
VIXCLS_d1,spy_ret,0.004559859757022911,0.6006008295614993,0.3938990548186977,0.5960409698044764
spy_ret,VIXCLS_d1,4.608930042831174e-05,0.5948912475104677,0.1487973754521235,0.5948451582100395
spy_ret,spy_ret,0.40177812895038356,0.9964633007636817,0.7858810628465642,0.5946851718132982
eth_ret,spy_ret,0.00021341829510845262,0.11948758829311534,0.03405720204690244,0.11927416999800688
spy_ret,eth_ret,0.001136005977475583,0.11968400988681559,0.034607380022599214,0.11854800390934
eth_ret,VIXCLS_d1,0.0003261491428473503,0.11812796560838514,0.03343375612840681,0.11780181646553778
VIXCLS_d1,eth_ret,3.123406938040258e-05,0.11713853431892995,0.033693117223733526,0.11710730024954955
btc_ret,spy_ret,0.0010034195775992332,0.1128504649117984,0.03314116529918333,0.11184704533419916
spy_ret,btc_ret,0.0021946175616732026,0.11083900161484586,0.03071418167871317,0.10864438405317266
btc_ret,VIXCLS_d1,0.00042757609881933074,0.10737926243020329,0.03011764231899582,0.10695168633138397
VIXCLS_d1,btc_ret,0.0011024453287133101,0.10590686238139095,0.02861288688463048,0.10480441705267764
