symbol,benchmark,n,beta,correlation
ADA,BTC,1262,1.26987578657883,0.705184106923522
ADA,ETH,1262,0.98857083815905,0.745157849752311
ADA,QQQ,825,1.2318819194815,0.34116337026378
BNB,BTC,1262,0.734540566059182,0.670544499615757
BNB,ETH,1262,0.551880059470728,0.683841941926595
BNB,QQQ,825,0.613824734512978,0.265475027652154
BTC,BTC,1262,1.00079302141158,1
BTC,ETH,1262,0.60148713938447,0.815795470913988
BTC,QQQ,825,0.762576780717421,0.343177956037257
DOGE,BTC,1262,1.33922464131062,0.740167292478535
DOGE,ETH,1262,0.994417988649034,0.746009988836729
DOGE,QQQ,825,1.16539657660322,0.311579092969116
ETH,BTC,1262,1.10821690447174,0.815795470913987
ETH,ETH,1262,1.00079302141158,1
ETH,QQQ,825,1.16101249416863,0.393797512936456
HYPE,BTC,563,1.25494212465983,0.49381052200269
HYPE,ETH,563,0.821677593945269,0.521192789846497
HYPE,QQQ,344,1.26742332594421,0.284609065964662
SOL,BTC,1262,1.33392385813941,0.728775949372883
SOL,ETH,1262,0.96423770855431,0.715066307362414
SOL,QQQ,825,1.20383098540865,0.314678765100449
TON,BTC,1262,0.794906464614745,0.488209695851166
TON,ETH,1262,0.616723026075454,0.514138051402052
TON,QQQ,825,0.860675666462551,0.274026419997367
TRX,BTC,1262,0.384821612541711,0.330864717044967
TRX,ETH,1262,0.286354975885603,0.334191152711047
TRX,QQQ,825,0.377597723132138,0.142222070700105
XRP,BTC,1262,1.00726130877156,0.592618912476525
XRP,ETH,1262,0.764606729818115,0.6106195201808
XRP,QQQ,825,1.05973406936226,0.290987704503484
